COUNTY_NAME,AMERICAN INDIAN OR ALASKA NATIVE,ASIAN OR PACIFIC ISLANDER,BLACK,ECONOMICALLY DISADVANTAGED,FEMALE,FORMERLY LIMITED ENGLISH PROFICIENT,GENERAL EDUCATION STUDENTS,HISPANIC,LIMITED ENGLISH PROFICIENT,MALE,MIGRANT,MULTIRACIAL,NOT ECONOMICALLY DISADVANTAGED,NOT LIMITED ENGLISH PROFICIENT,NOT MIGRANT,STUDENTS WITH DISABILITIES,WHITE,PCT_GRAD,COUNTY_CODE,YEAR,HOMELESS,IN FOSTER CARE,NOT HOMELESS,NOT IN FOSTER CARE,PARENT NOT IN ARMED FORCES,PARENT IN ARMED FORCES
RICHMOND,0.04,10.01,13.52,55.12,48.35,2.04,74.61,25.44,2.07,51.65,0.0,0.18,44.88,75.7,0.0,18.24,48.04,85.73,35,2019,3.23,0.0,78.25,0.0,0.0,0.0
ROCKLAND,0.06,7.07,13.88,37.17,49.26,2.8,87.89,28.63,8.28,50.45,0.0,0.46,62.77,65.19,0.0,11.82,46.61,88.89,50,2019,1.86,0.06,26.51,6.49,0.0,0.0
SAINT LAWRENCE,2.88,0.19,0.0,47.67,50.12,0.0,72.3,0.0,0.0,49.38,0.0,0.0,51.83,0.0,0.0,12.93,40.07,88.37,51,2019,2.51,0.0,39.52,0.0,0.0,0.0
SARATOGA,0.0,2.74,1.64,22.7,48.26,0.0,88.29,2.53,0.16,51.74,0.0,0.07,77.3,19.92,0.0,9.91,83.87,92.71,52,2019,1.48,0.0,55.27,0.0,0.0,0.0
SCHENECTADY,0.0,12.82,16.38,44.23,50.17,0.37,85.26,8.17,1.28,49.83,0.0,0.97,55.77,41.09,0.0,13.77,55.91,82.07,53,2019,1.1,0.0,27.15,0.0,0.0,0.0
SCHOHARIE,0.0,0.0,0.0,45.17,52.59,0.0,74.16,2.03,0.0,47.41,0.0,0.0,53.71,0.0,0.0,11.8,34.08,86.57,54,2019,0.51,0.0,12.92,0.0,0.0,0.0
SCHUYLER,0.0,0.0,0.0,40.42,49.53,0.0,87.38,0.0,0.0,50.47,0.0,0.0,59.58,0.0,0.0,12.62,31.54,93.93,55,2019,1.17,0.0,14.25,0.0,0.0,0.0
SENECA,0.0,0.0,0.62,46.21,48.6,0.0,80.27,1.87,0.0,51.4,0.0,0.0,53.79,0.0,0.0,13.81,83.59,87.18,56,2019,3.43,0.0,39.04,0.0,0.0,0.0
STEUBEN,0.0,1.29,1.66,44.68,49.31,0.0,76.1,0.14,0.0,49.86,0.0,0.74,54.95,0.0,0.0,12.09,42.37,90.24,57,2019,0.83,0.0,29.1,0.0,0.0,0.0
SUFFOLK,0.06,3.49,7.4,36.1,48.82,1.12,87.09,24.63,5.23,51.15,0.01,0.41,63.53,63.3,0.71,12.31,60.76,92.26,58,2019,1.58,0.07,47.69,9.56,0.0,0.0
SULLIVAN,0.0,0.23,9.73,53.09,48.3,0.0,75.2,20.1,3.02,51.7,0.47,0.47,46.91,44.39,8.84,13.08,57.52,85.11,59,2019,2.33,0.0,46.3,0.0,0.0,0.0
TIOGA,0.0,0.0,0.0,44.57,50.82,0.0,83.61,0.29,0.0,49.18,0.0,0.0,55.43,0.0,0.0,12.78,47.02,90.67,60,2019,0.0,0.0,0.0,0.0,0.0,0.0
TOMPKINS,0.0,5.87,3.47,34.12,47.5,0.41,81.21,2.52,0.58,51.22,0.0,3.39,64.6,28.05,0.0,10.2,56.88,91.0,61,2019,0.0,0.0,0.0,0.0,0.0,0.0
ULSTER,0.0,0.42,8.28,43.49,49.34,0.31,83.72,13.88,1.9,50.66,0.0,1.68,56.51,34.66,0.0,16.28,71.31,89.22,62,2019,1.22,0.0,36.12,0.0,0.0,0.0
WARREN,0.0,0.33,1.27,35.85,48.4,0.0,76.13,1.32,0.0,51.6,0.0,0.57,62.69,0.0,0.0,11.56,62.78,88.84,63,2019,1.13,0.0,27.41,0.0,0.0,0.0
WASHINGTON,0.0,0.0,0.0,40.33,49.39,0.0,69.55,0.25,0.0,50.61,0.0,0.36,59.67,0.0,0.0,12.88,37.83,84.8,64,2019,0.0,0.0,0.0,0.0,0.0,0.0
WAYNE,0.0,0.0,3.07,42.49,50.76,0.0,85.04,4.44,0.0,49.24,0.0,1.19,57.51,0.0,0.0,11.95,78.04,89.69,65,2019,1.61,0.0,25.7,0.0,0.0,0.0
WESTCHESTER,0.0,4.56,12.78,37.74,48.62,1.38,85.81,29.62,3.08,51.12,0.0,0.92,52.42,44.33,0.0,12.34,47.83,91.8,66,2019,1.18,0.0,23.91,0.0,0.0,0.0
WYOMING,0.0,0.0,0.0,36.83,49.31,0.0,74.81,0.0,0.0,50.69,0.0,0.0,63.17,0.0,0.0,11.32,27.51,94.6,67,2019,0.0,0.0,0.0,0.0,0.0,0.0
YATES,0.0,0.0,0.0,53.43,44.58,0.0,87.0,1.26,0.0,55.42,0.0,0.0,46.57,0.0,0.0,13.0,64.8,83.94,68,2019,2.53,0.0,47.29,0.0,0.0,0.0
