COUNTY_NAME,AMERICAN INDIAN OR ALASKA NATIVE,ASIAN OR PACIFIC ISLANDER,BLACK,ECONOMICALLY DISADVANTAGED,FEMALE,FORMERLY LIMITED ENGLISH PROFICIENT,GENERAL EDUCATION STUDENTS,HISPANIC,LIMITED ENGLISH PROFICIENT,MALE,MIGRANT,MULTIRACIAL,NOT ECONOMICALLY DISADVANTAGED,NOT LIMITED ENGLISH PROFICIENT,NOT MIGRANT,STUDENTS WITH DISABILITIES,WHITE,PCT_GRAD,COUNTY_CODE,YEAR,HOMELESS,IN FOSTER CARE,NOT HOMELESS,NOT IN FOSTER CARE,PARENT NOT IN ARMED FORCES,PARENT IN ARMED FORCES
CATTARAUGUS,3.42,0.0,1.3,42.61,48.53,,81.17,0.13,0.0,51.47,0.0,0.43,57.39,0.0,0.0,12.02,53.43,87.68,4,2016,,,,,,
CAYUGA,0.0,0.0,4.19,36.29,48.89,,76.14,0.8,0.0,51.11,0.0,0.53,63.71,0.0,0.0,8.14,56.46,86.24,5,2016,,,,,,
CHAUTAUQUA,0.74,0.0,0.97,45.98,49.26,,79.0,9.4,1.4,50.74,0.26,1.93,54.02,31.55,7.25,10.57,36.09,87.52,6,2016,,,,,,
CHEMUNG,0.0,0.94,10.12,41.46,48.91,,88.91,1.79,0.0,51.09,0.0,0.15,58.54,0.0,0.0,11.09,79.59,76.79,7,2016,,,,,,
CHENANGO,0.0,0.0,0.0,49.17,50.41,,81.3,0.25,0.0,49.59,0.0,0.0,50.83,0.0,0.0,13.85,29.35,89.59,8,2016,,,,,,
CLINTON,0.0,0.0,1.39,39.8,49.38,,79.33,0.0,0.0,50.62,0.0,0.0,60.2,0.0,0.0,16.5,53.37,86.37,9,2016,,,,,,
COLUMBIA,0.0,2.15,6.02,38.21,45.73,,76.61,1.85,0.53,52.86,0.53,0.92,60.38,12.18,11.35,15.22,69.13,86.54,10,2016,,,,,,
CORTLAND,0.0,0.0,2.0,37.38,47.22,,84.31,0.49,0.0,52.78,0.0,0.0,62.62,0.0,0.0,15.69,42.3,86.89,11,2016,,,,,,
DELAWARE,0.0,0.0,0.0,46.02,51.0,,59.94,0.52,0.0,47.51,0.0,0.0,50.89,0.0,0.0,13.3,31.92,90.49,12,2016,,,,,,
DUTCHESS,0.0,2.81,10.9,28.12,49.79,,86.54,11.47,0.42,50.21,0.0,0.4,71.88,13.87,0.0,12.53,70.18,87.96,13,2016,,,,,,
ERIE,0.28,3.11,18.48,37.78,50.14,,85.1,5.29,2.62,49.72,0.0,0.36,61.65,18.97,0.0,12.77,65.43,85.96,14,2016,,,,,,
ESSEX,0.0,0.0,0.0,44.94,44.21,,53.3,0.0,0.0,47.11,0.0,0.0,49.2,0.0,0.0,10.85,0.0,90.68,15,2016,,,,,,
FRANKLIN,12.14,0.0,0.0,47.59,48.43,,81.6,0.0,0.0,51.57,0.0,0.0,52.41,0.0,0.0,17.47,30.41,85.17,16,2016,,,,,,
FULTON,0.0,0.2,2.3,46.71,49.68,,84.6,1.51,0.0,50.32,0.0,0.0,53.29,0.0,0.0,15.4,73.65,80.87,17,2016,,,,,,
GENESEE,0.0,0.0,2.51,38.31,48.82,,76.77,0.43,0.0,51.18,0.0,1.74,61.69,0.0,0.0,10.75,40.47,92.19,18,2016,,,,,,
GREENE,0.0,0.0,3.05,39.59,50.54,,70.83,2.6,0.0,49.46,0.0,0.79,60.41,0.0,0.0,13.75,68.42,88.36,19,2016,,,,,,
HAMILTON,0.0,0.0,0.0,25.77,24.74,,8.25,0.0,0.0,28.87,0.0,0.0,20.62,0.0,0.0,5.15,0.0,89.69,20,2016,,,,,,
HERKIMER,0.0,0.0,0.2,42.57,49.44,,76.26,0.0,0.0,50.05,0.0,0.0,55.52,0.0,0.0,12.81,38.91,87.29,21,2016,,,,,,
JEFFERSON,0.0,0.62,5.17,41.94,49.57,,78.35,4.27,0.0,50.43,0.0,1.21,56.99,0.0,0.0,14.91,58.64,88.29,22,2016,,,,,,
KINGS,0.04,15.28,39.18,68.69,47.26,,80.55,21.4,7.02,51.15,0.0,0.37,30.33,49.44,0.0,14.59,12.91,75.78,33,2016,,,,,,
LEWIS,0.0,0.0,0.0,44.36,50.41,,71.49,0.0,0.0,49.59,0.0,0.0,55.64,0.0,0.0,12.09,7.35,90.69,23,2016,,,,,,
LIVINGSTON,0.0,0.0,0.0,30.11,49.27,,77.01,0.0,0.0,50.73,0.0,0.0,69.89,0.0,0.0,9.19,48.65,90.78,24,2016,,,,,,
MADISON,0.21,0.0,0.0,33.72,48.48,,74.73,0.0,0.0,51.18,0.0,0.18,65.94,0.0,0.0,12.04,66.22,89.43,25,2016,,,,,,
MONROE,0.0,3.45,20.54,37.54,49.74,,86.04,9.48,2.47,49.04,0.0,0.76,59.75,28.46,0.0,12.05,62.07,85.95,26,2016,,,,,,
MONTGOMERY,0.0,0.0,1.6,46.28,50.8,,82.93,15.87,1.46,49.2,0.0,0.22,53.72,46.5,0.0,17.07,48.18,81.16,27,2016,,,,,,
NASSAU,0.02,10.23,12.51,24.12,49.14,,88.53,17.19,2.29,50.83,0.0,0.13,75.75,38.91,0.0,10.89,56.36,93.73,28,2016,,,,,,
NEW YORK,0.09,13.21,22.71,65.86,53.47,,77.07,43.21,8.05,45.53,0.0,0.22,33.12,36.56,0.0,13.47,9.33,77.37,31,2016,,,,,,
NIAGARA,1.98,0.84,10.74,35.26,48.09,,85.97,1.69,0.0,51.91,0.0,0.87,64.74,0.0,0.0,12.73,77.14,86.57,40,2016,,,,,,
ONEIDA,0.0,5.56,7.73,43.67,49.08,,84.09,1.86,2.95,50.92,0.0,0.26,56.33,23.16,0.0,12.37,61.05,86.97,41,2016,,,,,,
ONONDAGA,0.32,3.99,16.52,36.31,49.7,,86.16,4.72,3.2,50.3,0.0,0.78,63.69,25.34,0.0,12.36,64.03,84.83,42,2016,,,,,,
ONTARIO,0.0,0.61,2.74,29.14,49.03,,86.43,3.83,0.42,50.97,0.0,0.75,69.85,13.23,0.0,9.18,65.08,91.34,43,2016,,,,,,
ORANGE,0.0,1.31,13.44,36.07,49.62,,85.91,23.2,0.96,50.35,0.0,0.03,63.63,26.27,0.0,11.49,58.56,90.17,44,2016,,,,,,
ORLEANS,0.0,0.0,3.33,42.45,47.72,,88.22,2.71,0.0,52.28,0.0,1.13,57.55,0.0,0.0,11.78,77.57,90.37,45,2016,,,,,,
OSWEGO,0.16,0.08,0.41,46.8,49.79,,86.67,1.64,0.0,50.21,0.0,0.0,53.2,0.0,0.0,13.33,71.04,83.54,46,2016,,,,,,
OTSEGO,0.0,0.71,2.07,39.67,48.72,,64.47,1.06,0.0,51.28,0.0,0.0,60.33,0.0,0.0,12.58,37.38,88.75,47,2016,,,,,,
PUTNAM,0.0,0.97,1.89,15.14,48.61,,86.27,14.26,0.1,51.39,0.0,0.42,84.86,5.11,0.0,13.73,79.73,94.32,48,2016,,,,,,
QUEENS,0.27,27.81,20.37,67.13,47.7,,80.32,35.19,8.33,51.54,0.0,0.08,32.86,60.08,0.0,11.66,10.81,79.74,34,2016,,,,,,
RENSSELAER,0.0,0.88,8.98,33.81,48.88,,85.95,4.92,0.27,51.12,0.0,1.43,66.19,10.7,0.0,14.05,60.75,89.65,49,2016,,,,,,
RICHMOND,0.03,7.45,14.12,48.49,48.28,,75.89,23.82,2.01,51.65,0.0,0.0,51.3,72.06,0.0,17.25,49.8,82.27,35,2016,,,,,,
ROCKLAND,0.08,7.3,15.73,30.55,49.55,,88.36,22.68,4.81,50.22,0.0,0.17,69.13,54.48,0.0,11.32,50.01,89.79,50,2016,,,,,,
SAINT LAWRENCE,2.42,0.0,0.0,46.22,49.41,,70.99,0.0,0.0,50.59,0.0,0.0,52.87,0.0,0.0,14.78,43.76,85.69,51,2016,,,,,,
SARATOGA,0.0,1.94,1.44,20.41,49.08,,89.22,1.71,0.0,50.92,0.0,0.33,79.59,0.0,0.0,9.78,80.53,91.28,52,2016,,,,,,
SCHENECTADY,0.0,8.46,16.17,41.08,49.19,,85.38,7.06,0.93,50.81,0.0,0.49,58.92,43.72,0.0,11.05,61.48,81.21,53,2016,,,,,,
SCHOHARIE,0.0,0.0,0.0,43.62,48.29,,72.98,0.0,0.0,51.71,0.0,0.0,56.38,0.0,0.0,12.28,39.78,84.64,54,2016,,,,,,
SCHUYLER,0.0,0.0,0.0,44.14,52.93,,89.48,0.0,0.0,47.07,0.0,0.0,55.86,0.0,0.0,10.52,54.83,88.1,55,2016,,,,,,
SENECA,0.0,0.0,1.1,30.32,52.47,,76.36,1.57,0.0,47.53,0.0,0.0,69.68,0.0,0.0,13.67,63.55,87.2,56,2016,,,,,,
STEUBEN,0.0,1.04,1.19,43.38,49.82,,75.16,0.54,0.0,50.18,0.0,0.25,53.96,0.0,0.0,13.65,47.93,86.91,57,2016,,,,,,
SUFFOLK,0.07,3.41,8.83,30.65,48.61,,88.02,19.04,2.92,51.31,0.01,0.28,68.23,49.44,0.46,11.8,65.46,92.02,58,2016,,,,,,
SULLIVAN,0.0,0.0,8.86,44.14,48.5,,76.08,16.95,1.26,51.5,0.63,0.0,53.03,25.03,6.28,9.9,60.74,83.86,59,2016,,,,,,
TIOGA,0.0,0.0,0.0,41.84,47.99,,82.57,0.0,0.0,52.01,0.0,0.0,58.16,0.0,0.0,12.43,36.53,89.47,60,2016,,,,,,
TOMPKINS,0.0,5.3,4.78,31.39,48.1,,85.18,2.31,0.49,50.35,0.0,1.95,67.06,19.39,0.0,12.24,65.75,90.2,61,2016,,,,,,
ULSTER,0.07,0.94,7.41,40.1,48.59,,84.61,11.52,0.52,51.41,0.0,0.42,59.9,25.89,0.0,15.39,75.44,87.73,62,2016,,,,,,
WARREN,0.0,0.54,1.83,32.42,49.17,,81.62,0.88,0.0,50.08,0.0,0.0,66.84,0.0,0.0,12.38,56.66,86.2,63,2016,,,,,,
WASHINGTON,0.0,0.0,0.0,39.39,47.62,,66.68,0.0,0.0,52.38,0.0,0.0,59.64,0.0,0.0,13.59,23.19,83.36,64,2016,,,,,,
WAYNE,0.0,0.0,2.6,38.9,48.38,,79.86,2.64,0.0,51.62,0.0,0.54,61.1,0.0,0.0,9.84,77.73,89.96,65,2016,,,,,,
WESTCHESTER,0.0,4.62,13.41,32.75,49.48,,86.98,26.64,2.49,50.03,0.0,0.55,55.08,40.56,0.0,11.95,50.66,90.87,66,2016,,,,,,
WYOMING,0.0,0.0,0.0,33.31,50.43,,81.7,0.0,0.0,49.57,0.0,0.0,66.69,0.0,0.0,13.2,10.53,93.64,67,2016,,,,,,
YATES,0.0,0.0,0.0,43.57,50.12,,80.12,0.0,0.0,49.88,0.0,0.0,56.43,0.0,0.0,11.55,86.19,85.83,68,2016,,,,,,
ALBANY,0.0,7.12,18.74,30.7,47.1,,84.41,5.85,1.58,48.6,0.0,1.06,69.3,22.8,0.0,11.82,60.92,86.3,1,2017,,,,,,
ALLEGANY,0.0,0.0,0.0,45.66,49.31,,53.31,0.0,0.0,49.36,0.0,0.0,54.34,0.0,0.0,8.22,13.71,91.68,2,2017,,,,,,
BRONX,0.24,4.84,18.68,71.08,47.14,,75.3,56.29,10.9,51.39,0.0,0.15,25.0,51.09,0.0,18.58,2.81,71.71,32,2017,,,,,,
BROOME,0.0,2.0,8.37,43.4,49.76,,85.11,3.92,0.42,50.24,0.0,1.96,56.6,19.35,0.0,13.57,70.87,87.67,3,2017,,,,,,
CATTARAUGUS,3.87,0.0,1.38,44.72,49.49,,81.55,0.31,0.0,50.51,0.0,0.43,55.28,0.0,0.0,12.1,55.53,88.07,4,2017,,,,,,
CAYUGA,0.0,0.0,4.77,39.25,50.69,,70.05,1.17,0.0,49.31,0.0,0.82,60.75,0.0,0.0,7.18,64.87,86.61,5,2017,,,,,,
CHAUTAUQUA,0.73,0.0,0.94,46.48,49.67,,79.39,9.78,1.14,50.33,0.09,2.12,53.52,26.89,2.37,9.81,41.87,87.6,6,2017,,,,,,
CHEMUNG,0.0,1.33,10.4,43.41,49.16,,89.3,2.27,0.0,50.84,0.0,0.56,56.59,0.0,0.0,10.7,80.46,77.66,7,2017,,,,,,
CHENANGO,0.0,0.0,0.52,48.48,49.87,,75.98,0.26,0.0,50.13,0.0,0.0,51.52,0.0,0.0,14.77,34.4,90.23,8,2017,,,,,,
CLINTON,0.3,0.0,0.97,41.68,48.83,,77.67,0.0,0.0,51.17,0.0,0.35,58.32,0.0,0.0,15.92,46.29,88.18,9,2017,,,,,,
COLUMBIA,0.0,1.49,6.02,41.02,49.84,,78.11,3.17,1.22,49.62,0.23,1.09,58.44,15.56,5.83,14.7,67.75,86.93,10,2017,,,,,,
CORTLAND,0.0,0.0,1.61,39.73,45.92,,86.0,0.5,0.0,54.08,0.0,0.0,60.27,0.0,0.0,14.0,68.03,89.07,11,2017,,,,,,
DELAWARE,0.0,0.0,0.0,46.75,52.12,,59.99,0.0,0.0,46.12,0.0,0.0,51.5,0.0,0.0,12.68,31.18,90.38,12,2017,,,,,,
DUTCHESS,0.0,2.88,11.27,29.37,49.29,,86.33,12.25,0.53,50.71,0.0,0.53,70.63,15.01,0.0,12.23,68.82,88.64,13,2017,,,,,,
ERIE,0.23,3.24,18.75,38.68,50.16,,85.45,5.87,2.63,49.75,0.0,0.51,60.13,18.05,0.0,12.79,64.63,86.39,14,2017,,,,,,
ESSEX,0.0,0.0,0.0,43.71,44.55,,53.87,0.0,0.0,47.63,0.0,0.0,50.37,0.0,0.0,11.07,0.0,91.34,15,2017,,,,,,
FRANKLIN,11.77,0.0,0.0,48.76,49.93,,78.38,0.0,0.0,48.76,0.0,0.0,51.24,0.0,0.0,16.89,30.44,86.19,16,2017,,,,,,
FULTON,0.0,0.41,2.55,46.83,50.41,,83.53,1.4,0.0,49.59,0.0,0.0,53.17,0.0,0.0,14.25,75.25,81.59,17,2017,,,,,,
GENESEE,0.0,0.0,2.05,39.11,50.66,,80.66,1.35,0.0,49.34,0.0,1.0,60.89,0.0,0.0,10.31,50.39,93.47,18,2017,,,,,,
GREENE,0.0,0.0,3.77,40.92,50.4,,76.55,3.34,0.0,49.6,0.0,0.27,59.08,0.0,0.0,15.26,72.02,89.06,19,2017,,,,,,
HAMILTON,0.0,0.0,0.0,33.68,34.74,,8.42,0.0,0.0,44.21,0.0,0.0,27.37,0.0,0.0,5.26,0.0,94.74,20,2017,,,,,,
HERKIMER,0.0,0.0,0.21,46.04,49.21,,72.07,0.0,0.0,50.79,0.0,0.0,51.78,0.0,0.0,11.91,31.07,88.41,21,2017,,,,,,
