"DISTRICTID","DISTRICT_NAME","GRADE_RANGE","GEOID","DSB","NEEDS_INDEX","BOCES_CD","YEAR"
"662300","YONKERS CITY SD","K-12, UE, US","3631920","662300",2,"6690",2016
"662401","LAKELAND CSD","PK-12, UE, US","3616620","662401",5,"4890",2016
"662402","YORKTOWN CSD","K-12, UE, US","3631980","662402",6,"4890",2016
"670201","ATTICA CSD","K-12, UE, US","3603420","670201",5,"2490",2016
"670401","LETCHWORTH CSD","K-12, UE, US","3617130","670401",5,"2490",2016
"671002","WYOMING CSD","K-8","3631860","671002",5,"2490",2016
"671201","PERRY CSD","PK-12, US","3622770","671201",5,"2490",2016
"671501","WARSAW CSD","PK-12, US","3629940","671501",5,"2490",2016
"680601","PENN YAN CSD","K-12, UE, US","3622740","680601",4,"4390",2016
"680801","DUNDEE CSD","PK-12, UE, US","3609390","680801",4,"4390",2016
