"DISTRICTID","DISTRICT_NAME","GRADE_RANGE","GEOID","DSB","NEEDS_INDEX","BOCES_CD","YEAR"
"250401","MORRISVILLE-EATON CSD","PK-12","3619920","250401",4,"2590",2016
"250701","HAMILTON CSD","PK-12, UE, US","3613380","250701",5,"2590",2016
"250901","CANASTOTA CSD","PK-12, UE","3606390","250901",5,"2590",2016
"251101","MADISON CSD","K-12","3618080","251101",4,"2590",2016
"251400","ONEIDA CITY SD","PK-12","3600013","251400",5,"2590",2016
"251501","STOCKBRIDGE VALLEY CSD","PK-12","3628140","251501",5,"2590",2016
"251601","CHITTENANGO CSD","K-12, UE, US","3607470","251601",5,"4290",2016
"260101","BRIGHTON CSD","K-12, UE, US","3605460","260101",6,"2691",2016
"260401","GATES-CHILI CSD","PK-12, UE, US","3611880","260401",5,"2692",2016
"260501","GREECE CSD","PK-12, UE, US","3612630","260501",5,"2692",2016
"260801","EAST IRONDEQUOIT CSD","PK-12, UE, US","3609690","260801",5,"2691",2016
"260803","WEST IRONDEQUOIT CSD","K-12, UE, US","3615390","260803",5,"2691",2016
"260901","HONEOYE FALLS-LIMA CSD","PK-12, UE, US","3614700","260901",5,"2691",2016
"261001","SPENCERPORT CSD","K-12, UE, US","3627780","261001",5,"2692",2016
"261101","HILTON CSD","PK-12, UE, US","3614460","261101",5,"2692",2016
"261201","PENFIELD CSD","K-12, UE, US","3622710","261201",5,"2691",2016
"261301","FAIRPORT CSD","K-12, US","3610890","261301",5,"2691",2016
"261313","EAST ROCHESTER UFSD","PK-12, UE, US","3609930","261313",5,"2691",2016
"261401","PITTSFORD CSD","K-12, UE, US","3623160","261401",6,"2691",2016
"261501","CHURCHVILLE-CHILI CSD","K-12, UE, US","3607530","261501",5,"2692",2016
"261600","ROCHESTER CITY SD","PK-12, UE, US","3624750","261600",2,"2691",2016
"261701","RUSH-HENRIETTA CSD","PK-12, UE, US","3625170","261701",5,"2691",2016
"261801","BROCKPORT CSD","PK-12, UE, US","3605580","261801",5,"2692",2016
"261901","WEBSTER CSD","PK-12, UE, US","3630360","261901",5,"2691",2016
"262001","WHEATLAND-CHILI CSD","K-12","3631170","262001",5,"2692",2016
"270100","AMSTERDAM CITY SD","K-12, UE, US","3602970","270100",4,"2090",2016
"270301","CANAJOHARIE CSD","PK-12, US","3606300","270301",4,"2090",2016
"270601","FONDA-FULTONVILLE CSD","K-12, UE","3611190","270601",5,"2090",2016
"270701","FORT PLAIN CSD","K-12, UE, US","3611370","270701",4,"2090",2016
