county_name,report_school_year,grad_pct,dropout_pct
CORTLAND,2016-17,0.8566666666666666,0.08
CORTLAND,2017-18,0.8666666666666667,0.06999999999999999
CORTLAND,2018-19,0.8666666666666667,0.06666666666666667
DELAWARE,2014-15,0.8666666666666667,0.07333333333333333
DELAWARE,2015-16,0.89,0.07
DELAWARE,2016-17,0.8933333333333334,0.06333333333333334
DELAWARE,2017-18,0.8866666666666667,0.06666666666666667
DELAWARE,2018-19,0.8666666666666667,0.06666666666666667
DUTCHESS,2014-15,0.85,0.09000000000000001
DUTCHESS,2015-16,0.86,0.08
DUTCHESS,2016-17,0.8666666666666667,0.08333333333333333
DUTCHESS,2017-18,0.87,0.07333333333333333
DUTCHESS,2018-19,0.8666666666666667,0.07666666666666667
ERIE,2014-15,0.8333333333333334,0.09333333333333334
ERIE,2015-16,0.8433333333333333,0.09000000000000001
ERIE,2016-17,0.8533333333333334,0.08
ERIE,2017-18,0.8466666666666667,0.08333333333333333
ERIE,2018-19,0.85,0.08333333333333333
ESSEX,2014-15,0.89,0.06
ESSEX,2015-16,0.9033333333333333,0.06666666666666667
ESSEX,2016-17,0.9066666666666667,0.07
ESSEX,2017-18,0.9033333333333333,0.07
ESSEX,2018-19,0.9166666666666666,0.05666666666666667
FRANKLIN,2014-15,0.8333333333333334,0.08666666666666667
FRANKLIN,2015-16,0.8466666666666667,0.07666666666666666
FRANKLIN,2016-17,0.8533333333333334,0.07333333333333333
FRANKLIN,2017-18,0.8666666666666667,0.06666666666666667
FRANKLIN,2018-19,0.8733333333333334,0.07333333333333335
FULTON,2014-15,0.77,0.15333333333333332
FULTON,2015-16,0.7799999999999999,0.15
FULTON,2016-17,0.79,0.13999999999999999
FULTON,2017-18,0.7866666666666667,0.13333333333333333
FULTON,2018-19,0.7933333333333333,0.13
GENESEE,2014-15,0.89,0.060000000000000005
GENESEE,2015-16,0.9,0.049999999999999996
GENESEE,2016-17,0.9066666666666667,0.049999999999999996
GENESEE,2017-18,0.91,0.043333333333333335
GENESEE,2018-19,0.9233333333333333,0.03333333333333333
GREENE,2014-15,0.8466666666666667,0.06666666666666667
GREENE,2015-16,0.86,0.06666666666666667
GREENE,2016-17,0.87,0.060000000000000005
GREENE,2017-18,0.89,0.05666666666666667
GREENE,2018-19,0.88,0.04666666666666667
HAMILTON,2014-15,0.91,0.049999999999999996
HAMILTON,2015-16,0.8933333333333334,0.043333333333333335
HAMILTON,2016-17,0.9166666666666666,0.03333333333333333
HAMILTON,2017-18,0.9066666666666667,0.043333333333333335
HAMILTON,2018-19,0.9166666666666666,0.04
HERKIMER,2014-15,0.83,0.09999999999999999
HERKIMER,2015-16,0.84,0.09666666666666668
HERKIMER,2016-17,0.8566666666666666,0.08666666666666667
HERKIMER,2017-18,0.86,0.08666666666666667
HERKIMER,2018-19,0.8633333333333333,0.08666666666666667
JEFFERSON,2014-15,0.8533333333333334,0.08
JEFFERSON,2015-16,0.87,0.07666666666666667
JEFFERSON,2016-17,0.8633333333333333,0.08
JEFFERSON,2017-18,0.8666666666666667,0.08
JEFFERSON,2018-19,0.86,0.08333333333333333
