,num_asian,num_black,num_hisp,num_multi
703,1.0,4.0,5.0,0.0
704,1.0,4.0,5.0,0.0
705,1.0,4.0,5.0,0.0
706,1.0,4.0,5.0,0.0
707,1.0,4.0,5.0,0.0
708,1.0,4.0,5.0,0.0
709,1.0,4.0,5.0,0.0
710,1.0,4.0,5.0,0.0
711,1.0,3.0,4.0,3.0
712,1.0,3.0,4.0,3.0
713,1.0,3.0,4.0,3.0
714,1.0,3.0,4.0,3.0
715,1.0,3.0,4.0,3.0
716,1.0,3.0,4.0,3.0
717,1.0,2.0,5.0,0.0
718,1.0,2.0,5.0,0.0
719,1.0,2.0,5.0,0.0
720,1.0,2.0,5.0,0.0
721,1.0,2.0,5.0,0.0
722,1.0,2.0,5.0,0.0
723,1.0,4.0,4.0,0.0
724,1.0,4.0,4.0,0.0
725,1.0,4.0,4.0,0.0
726,1.0,4.0,4.0,0.0
727,1.0,4.0,4.0,0.0
728,1.0,4.0,4.0,0.0
729,1.0,4.0,3.0,0.0
730,1.0,4.0,3.0,0.0
731,1.0,4.0,3.0,0.0
732,1.0,4.0,3.0,0.0
733,1.0,4.0,3.0,0.0
734,1.0,4.0,3.0,0.0
735,1.0,3.0,0.0,0.0
736,1.0,3.0,0.0,0.0
737,1.0,3.0,0.0,0.0
738,1.0,3.0,0.0,0.0
739,1.0,3.0,0.0,0.0
740,1.0,3.0,0.0,0.0
741,1.0,3.0,3.0,1.0
742,1.0,3.0,3.0,1.0
743,1.0,3.0,3.0,1.0
744,1.0,3.0,3.0,1.0
745,1.0,3.0,3.0,1.0
746,1.0,3.0,3.0,1.0
747,1.0,3.0,2.0,0.0
748,2.0,12.0,2.0,4.0
749,2.0,12.0,2.0,4.0
750,2.0,12.0,2.0,4.0
751,4.0,8.0,2.0,0.0
752,4.0,8.0,2.0,0.0
753,4.0,8.0,2.0,0.0
754,4.0,8.0,2.0,0.0
755,4.0,8.0,2.0,0.0
756,4.0,8.0,2.0,0.0
757,4.0,8.0,2.0,0.0
758,2.0,9.0,2.0,0.0
759,2.0,9.0,2.0,0.0
760,2.0,9.0,2.0,0.0
761,2.0,9.0,2.0,0.0
762,3.0,11.0,3.0,0.0
763,3.0,11.0,3.0,0.0
764,3.0,11.0,3.0,0.0
765,3.0,10.0,6.0,3.0
766,3.0,10.0,6.0,3.0
767,3.0,10.0,6.0,3.0
768,3.0,10.0,6.0,3.0
769,3.0,10.0,6.0,3.0
770,3.0,15.0,4.0,2.0
771,3.0,15.0,4.0,2.0
772,3.0,15.0,4.0,2.0
773,4.0,16.0,3.0,2.0
774,4.0,16.0,3.0,2.0
775,4.0,16.0,3.0,2.0
776,2.0,11.0,4.0,2.0
777,2.0,11.0,4.0,2.0
778,2.0,11.0,4.0,2.0
779,2.0,11.0,4.0,3.0
780,2.0,11.0,4.0,3.0
781,2.0,11.0,4.0,3.0
782,4.0,11.0,2.0,2.0
783,4.0,11.0,2.0,2.0
784,4.0,11.0,2.0,2.0
785,4.0,5.0,5.0,3.0
786,4.0,5.0,5.0,3.0
787,4.0,5.0,5.0,3.0
788,1.0,0.0,1.0,0.0
789,2.0,2.0,1.0,0.0
790,2.0,2.0,1.0,0.0
791,2.0,2.0,1.0,0.0
792,0.0,1.0,1.0,2.0
793,0.0,1.0,1.0,2.0
794,0.0,1.0,1.0,2.0
795,0.0,1.0,1.0,2.0
796,0.0,1.0,1.0,2.0
797,0.0,1.0,1.0,2.0
798,0.0,1.0,1.0,2.0
799,0.0,0.0,1.0,3.0
800,0.0,0.0,1.0,3.0
801,0.0,0.0,1.0,3.0
802,0.0,0.0,1.0,3.0
803,0.0,0.0,0.0,6.0
804,0.0,0.0,0.0,6.0
805,0.0,0.0,0.0,6.0
806,0.0,0.0,8.0,0.0
807,0.0,0.0,8.0,0.0
808,0.0,0.0,8.0,0.0
809,0.0,0.0,8.0,0.0
810,0.0,0.0,8.0,0.0
811,0.0,0.0,8.0,2.0
812,0.0,0.0,8.0,2.0
813,0.0,0.0,8.0,2.0
