COUNTY_NAME,AMERICAN INDIAN OR ALASKA NATIVE,ASIAN OR PACIFIC ISLANDER,BLACK OR AFRICAN AMERICAN,ECONOMICALLY DISADVANTAGED,FEMALE,FORMERLY LIMITED ENGLISH PROFICIENT,GENERAL EDUCATION STUDENTS,HISPANIC OR LATINO,LIMITED ENGLISH PROFICIENT,MALE,MIGRANT,MULTIRACIAL,NOT ECONOMICALLY DISADVANTAGED,NOT LIMITED ENGLISH PROFICIENT,NOT MIGRANT,STUDENTS WITH DISABILITIES,WHITE,PCT_GRAD,COUNTY_CODE,ENGLISH LANGUAGE LEARNERS,NON-ENGLISH LANGUAGE LEARNERS,ENGLISH LANGUAGE LEARNER,NOT ENGLISH LANGUAGE LEARNER,FORMERLY ENGLISH LANGUAGE LEARNER,AMERICAN INDIAN/ALASKA NATIVE,ASIAN/PACIFIC ISLANDER,BLACK,HISPANIC,HOMELESS,IN FOSTER CARE,NOT HOMELESS,NOT IN FOSTER CARE,PARENT NOT IN ARMED FORCES,PARENT IN ARMED FORCES
MONTGOMERY,0.0,0.0,1.95,47.67,50.33,,83.49,18.15,,49.67,0.0,0.22,52.33,,0.0,16.51,46.6,80.56,27,,,1.6,47.18,,,,,,,,,,,
NASSAU,0.03,10.34,12.33,26.41,48.71,,88.47,18.84,,51.26,0.0,0.14,73.52,,0.0,10.83,54.91,93.16,28,,,3.2,41.78,,,,,,,,,,,
NEW YORK,0.06,13.3,21.85,65.52,53.28,,76.62,42.82,,45.81,0.0,0.45,33.34,,0.0,14.14,9.36,78.35,31,,,7.26,33.67,,,,,,,,,,,
NIAGARA,1.75,0.94,11.73,37.48,48.47,,85.12,2.11,,51.53,0.0,0.82,62.52,,0.0,12.8,78.48,87.4,40,,,0.0,0.0,,,,,,,,,,,
ONEIDA,0.0,5.22,8.09,46.68,48.98,,83.66,4.22,,51.02,0.0,0.37,53.32,,0.0,12.89,62.47,88.04,41,,,2.42,23.4,,,,,,,,,,,
ONONDAGA,0.31,3.89,16.93,38.16,49.32,,85.92,4.78,,50.68,0.0,0.86,61.84,,0.0,12.66,65.0,85.53,42,,,2.78,26.73,,,,,,,,,,,
ONTARIO,0.0,0.75,2.36,31.95,48.31,,83.96,4.35,,51.69,0.0,0.96,68.05,,0.0,8.26,66.83,92.1,43,,,0.53,12.37,,,,,,,,,,,
ORANGE,0.0,1.3,13.23,38.05,48.7,,85.21,24.41,,51.27,0.0,0.24,61.16,,0.0,11.79,57.68,89.76,44,,,1.1,32.38,,,,,,,,,,,
ORLEANS,0.0,0.0,1.28,46.33,49.33,,87.48,4.12,,50.67,0.0,1.98,53.67,,0.0,12.52,73.62,91.44,45,,,0.0,0.0,,,,,,,,,,,
OSWEGO,0.08,0.08,0.48,46.37,48.44,,88.14,1.83,,51.56,0.0,0.19,53.63,,0.0,11.86,75.68,84.6,46,,,0.23,9.35,,,,,,,,,,,
OTSEGO,0.0,0.79,2.12,38.82,49.54,,70.89,1.5,,50.46,0.0,0.0,61.18,,0.0,13.41,41.82,90.21,47,,,0.0,0.0,,,,,,,,,,,
PUTNAM,0.0,1.71,1.5,17.99,49.96,,86.17,15.72,,50.04,0.0,0.22,82.01,,0.0,13.83,77.98,94.53,48,,,0.31,10.19,,,,,,,,,,,
QUEENS,0.36,28.0,20.0,68.24,47.32,,79.96,35.56,,51.71,0.0,0.25,31.76,,0.0,11.85,10.85,81.41,34,,,7.71,59.65,,,,,,,,,,,
RENSSELAER,0.0,1.25,9.3,35.98,48.64,,84.89,5.04,,51.36,0.0,1.59,64.02,,0.0,15.11,61.14,89.42,49,,,0.55,9.46,,,,,,,,,,,
RICHMOND,0.04,8.6,13.8,50.09,47.5,,75.1,24.73,,52.5,0.0,0.0,49.84,,0.0,17.87,48.98,82.88,35,,,1.89,71.43,,,,,,,,,,,
ROCKLAND,0.09,7.33,14.62,33.15,49.51,,88.21,25.11,,50.26,0.0,0.43,66.7,,0.0,11.47,49.02,88.79,50,,,5.95,66.02,,,,,,,,,,,
SAINT LAWRENCE,2.47,0.0,0.0,47.31,48.35,,71.13,0.0,,50.89,0.0,0.0,51.46,,0.0,13.64,37.34,86.79,51,,,0.0,0.0,,,,,,,,,,,
SARATOGA,0.0,1.95,1.51,21.31,48.01,,87.31,2.09,,51.99,0.0,0.26,78.69,,0.0,9.45,81.0,92.06,52,,,0.09,9.74,,,,,,,,,,,
SCHENECTADY,0.0,9.3,16.56,43.75,49.23,,85.93,7.54,,50.77,0.0,0.66,56.25,,0.0,12.25,58.87,80.55,53,,,0.87,41.09,,,,,,,,,,,
SCHOHARIE,0.0,0.0,0.0,45.72,49.05,,71.31,0.0,,50.95,0.0,0.0,54.28,,0.0,12.01,37.67,84.52,54,,,0.0,0.0,,,,,,,,,,,
SCHUYLER,0.0,0.0,0.0,42.86,48.12,,88.72,0.94,,51.88,0.0,0.0,57.14,,0.0,11.28,38.53,90.79,55,,,0.0,0.0,,,,,,,,,,,
SENECA,0.0,0.0,1.46,38.69,50.15,,77.46,0.54,,49.85,0.0,0.0,61.31,,0.0,13.08,72.85,85.77,56,,,0.0,0.0,,,,,,,,,,,
STEUBEN,0.0,1.01,1.76,44.19,49.62,,75.01,0.17,,49.65,0.0,0.67,55.02,,0.0,13.0,44.79,88.82,57,,,0.0,0.0,,,,,,,,,,,
SUFFOLK,0.06,3.27,8.64,32.68,48.71,,87.77,20.76,,51.23,0.01,0.35,66.44,,0.45,11.93,63.96,91.77,58,,,3.59,57.78,,,,,,,,,,,
SULLIVAN,0.0,0.0,8.26,48.03,49.04,,69.58,15.99,,50.96,0.65,0.0,51.97,,9.64,11.26,59.83,84.05,59,,,2.06,28.04,,,,,,,,,,,
TIOGA,0.0,0.0,0.0,43.28,47.32,,87.3,0.43,,52.68,0.0,0.0,56.72,,0.0,12.7,54.89,90.43,60,,,0.0,0.0,,,,,,,,,,,
TOMPKINS,0.0,5.68,4.06,32.56,48.42,,83.84,2.13,,50.35,0.0,2.01,66.21,,0.0,11.66,57.61,88.71,61,,,0.69,30.16,,,,,,,,,,,
ULSTER,0.0,0.65,7.6,41.72,49.78,,84.09,12.4,,50.22,0.0,1.01,58.28,,0.0,15.91,73.89,88.63,62,,,0.67,25.01,,,,,,,,,,,
