AGGREGATION_CODE,AMERICAN INDIAN OR ALASKA NATIVE,ASIAN OR PACIFIC ISLANDER,BLACK,ECONOMICALLY DISADVANTAGED,FEMALE,FORMERLY LIMITED ENGLISH PROFICIENT,GENERAL EDUCATION STUDENTS,HISPANIC,LIMITED ENGLISH PROFICIENT,MALE,MIGRANT,MULTIRACIAL,NOT ECONOMICALLY DISADVANTAGED,NOT LIMITED ENGLISH PROFICIENT,NOT MIGRANT,STUDENTS WITH DISABILITIES,WHITE,PCT_GRAD,AGGREGATION_NAME,COUNTY_CODE,COUNTY_NAME,YEAR
261600010102,0.0,5.84,70.45,77.92,62.34,2.92,89.61,17.86,8.44,37.66,0.0,0.0,22.08,91.56,100.0,10.39,5.84,75.65,ROCHESTER EARLY COLLEGE INTERNA HS,26,MONROE,2015
261600010103,0.0,0.0,76.62,86.36,0.0,0.0,87.66,15.58,1.3,100.0,0.0,0.0,13.64,98.7,100.0,12.34,7.79,55.19,LEADERSHIP ACADEMY FOR YOUNG MEN,26,MONROE,2015
261600860910,0.0,2.55,77.07,85.35,60.51,1.91,93.63,12.74,3.18,39.49,1.27,0.0,14.65,96.82,98.73,6.37,7.64,90.45,ROCHESTER ACADEMY CHARTER SCHOOL,26,MONROE,2015
261600860985,0.0,0.0,78.85,98.08,0.0,0.0,84.62,9.62,0.0,100.0,0.0,1.92,1.92,100.0,100.0,15.38,9.62,92.31,UNIVERSITY PREP CHAR SCH-YOUNG MEN,26,MONROE,2015
261701060009,0.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,100.0,100.0,100.0,50.0,50.0,0.0,NINTH GRADE ACADEMY,26,MONROE,2015
261701060013,0.48,8.91,16.34,33.69,50.03,1.31,92.22,4.87,1.66,49.97,0.0,1.07,66.31,98.34,100.0,7.78,68.33,91.92,RUSH-HENRIETTA SENIOR HIGH SCHOOL,26,MONROE,2015
261801060003,0.16,1.15,6.01,33.99,49.55,0.08,87.24,5.02,0.33,50.45,0.0,1.73,66.01,99.67,100.0,12.76,85.93,93.83,BROCKPORT HIGH SCHOOL,26,MONROE,2015
261901060009,0.2,3.58,3.1,17.07,48.25,0.54,90.35,4.05,0.81,51.75,0.0,0.67,82.93,99.19,100.0,9.65,88.39,93.32,WEBSTER-SCHROEDER HIGH SCHOOL,26,MONROE,2015
261901060015,0.15,2.65,2.5,11.4,47.79,0.07,87.87,3.53,0.0,52.21,0.0,0.59,88.6,100.0,100.0,12.13,90.59,97.57,THOMAS HIGH SCHOOL,26,MONROE,2015
262001040003,0.42,0.0,18.41,36.4,43.1,0.0,84.94,2.93,1.26,56.9,0.0,0.0,63.6,98.74,100.0,15.06,78.24,95.82,WHEATLAND-CHILI HIGH SCHOOL,26,MONROE,2015
270100010010,0.0,0.87,6.65,39.63,49.26,0.44,78.83,35.52,2.8,50.74,0.0,0.09,60.37,97.2,100.0,21.17,56.87,68.07,AMSTERDAM HIGH SCHOOL,27,MONTGOMERY,2015
270301040002,0.0,0.67,2.01,45.3,50.34,0.0,90.94,0.0,0.34,49.66,0.0,0.34,54.7,99.66,100.0,9.06,96.98,86.24,CANAJOHARIE SENIOR HIGH SCHOOL,27,MONTGOMERY,2015
270601040002,0.92,0.92,0.23,36.18,50.46,0.0,88.71,1.61,0.92,49.54,0.69,0.0,63.82,99.08,99.31,11.29,96.31,90.32,FONDA-FULTONVILLE SENIOR HIGH SCHOOL,27,MONTGOMERY,2015
270701040003,0.0,0.89,3.12,54.02,53.57,0.0,81.7,3.57,0.0,46.43,0.0,5.8,45.98,100.0,100.0,18.3,86.61,87.05,FORT PLAIN JUNIOR-SENIOR HIGH SCHOOL,27,MONTGOMERY,2015
271201040004,0.62,0.0,1.24,52.8,49.07,0.0,83.23,0.0,0.0,50.93,0.0,0.0,47.2,100.0,100.0,16.77,98.14,72.67,OPPENHEIM-EPHRATAH-ST JOHNSVILLE HS,27,MONTGOMERY,2015
280100010007,0.11,4.12,11.51,42.87,47.62,2.32,85.53,47.2,6.86,52.38,0.0,0.11,57.13,93.14,100.0,14.47,36.96,80.78,GLEN COVE HIGH SCHOOL,28,NASSAU,2015
280201030007,0.06,0.73,43.42,54.15,48.21,2.79,90.36,54.64,19.28,51.79,0.0,0.12,45.85,80.72,100.0,9.64,1.03,50.15,HEMPSTEAD HIGH SCHOOL,28,NASSAU,2015
280202030010,0.05,0.81,55.89,59.34,47.13,2.83,93.97,42.72,7.23,52.87,0.0,0.24,40.66,92.77,100.0,6.03,0.29,81.27,UNIONDALE HIGH SCHOOL,28,NASSAU,2015
280203030010,0.0,19.39,2.24,14.91,49.08,0.13,97.49,18.73,0.0,50.92,0.0,0.0,85.09,100.0,100.0,2.51,59.63,97.23,W TRESPER CLARKE HIGH SCHOOL,28,NASSAU,2015
280203030011,0.0,17.59,2.5,15.72,48.03,0.87,93.08,15.91,1.56,51.97,0.0,0.25,84.28,98.44,100.0,6.92,63.76,98.25,EAST MEADOW HIGH SCHOOL,28,NASSAU,2015
280205030015,0.19,7.16,0.96,22.92,50.05,0.57,82.33,15.09,0.0,49.95,0.0,0.29,77.08,100.0,100.0,17.67,76.31,94.08,DIVISION AVENUE SENIOR HIGH SCHOOL,28,NASSAU,2015
280205030016,0.0,4.08,1.57,12.6,51.61,0.57,89.98,9.09,0.5,48.39,0.0,0.29,87.4,99.5,100.0,10.02,84.97,97.21,GEN DOUGLAS MACARTHUR SENIOR HS,28,NASSAU,2015
280206030006,0.0,2.15,0.63,8.24,48.42,0.0,88.59,5.2,0.13,51.58,0.0,0.38,91.76,99.87,100.0,11.41,91.63,95.56,SEAFORD SENIOR HIGH SCHOOL,28,NASSAU,2015
280208030005,0.0,0.0,63.55,62.67,52.18,3.5,88.39,34.33,12.23,47.82,0.0,0.0,37.33,87.77,100.0,11.61,2.12,77.65,ROOSEVELT HIGH SCHOOL,28,NASSAU,2015
280209030007,0.72,1.02,35.53,50.31,48.93,4.6,89.21,55.88,8.13,51.07,0.0,0.97,49.69,91.87,100.0,10.79,5.88,82.57,FREEPORT HIGH SCHOOL,28,NASSAU,2015
280210030013,0.0,3.93,47.47,11.48,47.47,0.77,86.67,19.16,2.32,52.53,0.0,1.43,88.52,97.68,100.0,13.33,28.02,92.74,BALDWIN SENIOR HIGH SCHOOL,28,NASSAU,2015
280211030010,0.11,3.0,1.36,10.26,50.55,0.38,90.56,13.37,0.71,49.45,0.0,0.66,89.74,99.29,100.0,9.44,81.5,96.18,SCHOOL 7-OCEANSIDE SENIOR HS,28,NASSAU,2015
280211030011,0.0,0.0,2.6,23.38,31.17,0.0,66.23,12.99,1.3,68.83,0.0,1.3,76.62,98.7,100.0,33.77,83.12,53.25,CASTLETON ACADEMY HS OF OCEANSIDE,28,NASSAU,2015
280212030005,0.0,3.19,60.41,42.21,51.41,1.69,89.49,16.7,0.94,48.59,0.0,0.0,57.79,99.06,100.0,10.51,19.7,93.25,MALVERNE SENIOR HIGH SCHOOL,28,NASSAU,2015
280214030007,0.2,10.68,6.07,16.26,47.11,1.67,87.07,12.24,0.39,52.89,0.0,0.78,83.74,99.61,100.0,12.93,70.03,97.16,GEORGE W HEWLETT HIGH SCHOOL,28,NASSAU,2015
280215030007,0.42,6.78,26.2,48.85,47.08,1.77,85.59,37.47,5.11,52.92,0.0,0.73,51.15,94.89,100.0,14.41,28.39,86.64,LAWRENCE SENIOR HIGH SCHOOL,28,NASSAU,2015
280218030007,0.08,2.92,0.83,2.5,49.04,0.0,90.41,4.0,0.17,50.96,0.0,0.08,97.5,99.83,100.0,9.59,92.08,96.75,GARDEN CITY HIGH SCHOOL,28,NASSAU,2015
280219030002,0.0,5.08,2.42,34.38,54.24,0.73,88.38,14.53,0.73,45.76,0.0,0.48,65.62,99.27,100.0,11.62,77.48,92.25,EAST ROCKAWAY JUNIOR-SENIOR HIGH SCH,28,NASSAU,2015
280220030007,0.21,4.07,2.57,9.1,49.57,0.54,90.04,11.35,0.11,50.43,0.0,0.32,90.9,99.89,100.0,9.96,81.48,96.15,LYNBROOK SENIOR HIGH SCHOOL,28,NASSAU,2015
280221030001,0.0,3.58,7.42,14.41,48.47,0.44,87.86,12.49,1.14,51.53,0.0,0.7,85.59,98.86,100.0,12.14,75.81,97.29,SOUTH SIDE HIGH SCHOOL,28,NASSAU,2015
280223030005,0.0,2.42,0.0,4.23,51.04,0.0,90.67,3.97,0.0,48.96,0.0,0.0,95.77,100.0,100.0,9.33,93.61,98.96,WANTAGH SENIOR HIGH SCHOOL,28,NASSAU,2015
280226030006,0.0,8.22,0.47,12.56,51.41,0.82,91.55,12.91,1.06,48.59,0.0,0.0,87.44,98.94,100.0,8.45,78.4,96.71,ISLAND TREES HIGH SCHOOL,28,NASSAU,2015
280227030005,0.0,6.95,17.49,33.17,44.43,0.96,88.62,25.27,2.99,55.57,0.0,0.84,66.83,97.01,100.0,11.38,49.46,94.01,WEST HEMPSTEAD HIGH SCHOOL,28,NASSAU,2015
280251070001,0.0,0.0,66.67,0.0,33.33,0.0,83.33,16.67,0.0,66.67,0.0,0.0,100.0,100.0,100.0,16.67,16.67,0.0,VALLEY STREAM MEMORIAL JR HIGH SCHOO,28,NASSAU,2015
280251070002,0.0,15.18,19.22,17.5,49.08,2.57,89.84,18.12,5.63,50.92,0.0,0.0,82.5,94.37,100.0,10.16,47.49,97.55,VALLEY STREAM NORTH HIGH SCHOOL,28,NASSAU,2015
280251070003,0.22,19.67,23.04,22.83,50.65,0.87,90.65,26.85,0.65,49.35,0.0,0.0,77.17,99.35,100.0,9.35,30.22,95.43,VALLEY STREAM SOUTH HIGH SCHOOL,28,NASSAU,2015
280251070004,0.0,17.86,41.9,32.53,48.66,0.44,89.98,26.22,0.15,51.34,0.0,0.0,67.47,99.85,100.0,10.02,14.02,96.8,VALLEY STREAM CENTRAL HIGH SCHOOL,28,NASSAU,2015
280252070002,0.0,7.72,77.35,38.75,49.04,1.84,89.85,13.24,2.13,50.96,0.0,0.51,61.25,97.87,100.0,10.15,1.18,93.31,ELMONT MEMORIAL HIGH SCHOOL,28,NASSAU,2015
280252070003,0.0,11.98,14.26,13.96,46.14,0.99,86.73,15.35,1.29,53.86,0.0,0.0,86.04,98.71,100.0,13.27,58.42,93.86,FLORAL PARK MEMORIAL HIGH SCHOOL,28,NASSAU,2015
280252070004,0.0,8.09,4.09,16.71,51.44,2.09,89.12,14.01,3.92,48.56,0.0,0.0,83.29,96.08,100.0,10.88,73.8,94.34,H FRANK CAREY HIGH SCHOOL,28,NASSAU,2015
280252070005,0.0,42.18,3.91,14.25,49.43,0.65,91.61,12.87,0.9,50.57,0.0,0.0,85.75,99.1,100.0,8.39,41.04,95.85,NEW HYDE PARK MEMORIAL HIGH SCHOOL,28,NASSAU,2015
280252070006,0.0,21.6,29.87,40.18,48.27,2.76,88.36,26.4,1.96,51.73,0.0,0.0,59.82,98.04,100.0,11.64,22.13,91.38,SEWANHAKA HIGH SCHOOL,28,NASSAU,2015
280253070005,0.15,4.61,1.21,7.25,47.28,0.08,87.46,7.02,0.3,52.72,0.0,0.0,92.75,99.7,100.0,12.54,87.01,97.43,SANFORD H CALHOUN HIGH SCHOOL,28,NASSAU,2015
280253070006,0.07,5.66,2.65,7.96,49.68,0.07,89.53,6.31,0.5,50.32,0.0,0.07,92.04,99.5,100.0,10.47,85.23,96.06,WELLINGTON C MEPHAM HIGH SCH,28,NASSAU,2015
