AGGREGATION_CODE,AMERICAN INDIAN OR ALASKA NATIVE,ASIAN OR PACIFIC ISLANDER,BLACK,ECONOMICALLY DISADVANTAGED,LIMITED ENGLISH PROFICIENT,FEMALE,GENERAL EDUCATION STUDENTS,HISPANIC,MALE,MIGRANT,MULTIRACIAL,NOT LIMITED ENGLISH PROFICIENT,NOT ECONOMICALLY DISADVANTAGED,NOT MIGRANT,STUDENTS WITH DISABILITIES,WHITE,PCT_GRAD,AGGREGATION_NAME,COUNTY_CODE,COUNTY_NAME,YEAR
51301040003,0.0,0.0,0.0,37.98,0.0,46.34,19.16,0.0,53.66,0.0,0.0,0.0,62.02,0.0,3.83,0.0,90.94,MORAVIA JUNIOR-SENIOR HIGH SCHOOL,5,CAYUGA,2016
51901040005,0.0,0.0,0.0,29.71,0.0,46.01,66.3,0.0,53.99,0.0,0.0,0.0,70.29,0.0,7.97,0.0,93.12,UNION SPRINGS HIGH SCHOOL,5,CAYUGA,2016
60201060003,0.0,0.0,0.0,24.84,0.0,50.93,90.68,0.0,49.07,0.0,0.0,0.0,75.16,0.0,9.32,42.65,93.79,SOUTHWESTERN SENIOR HIGH SCHOOL,6,CHAUTAUQUA,2016
60301040004,0.0,0.0,0.0,34.6,0.0,48.1,86.16,0.0,51.9,0.0,0.0,0.0,65.4,0.0,13.84,0.0,94.12,FREWSBURG JUNIOR-SENIOR HIGH SCH,6,CHAUTAUQUA,2016
60401040006,0.0,0.0,0.0,50.61,0.0,53.37,88.34,0.0,46.63,0.0,0.0,0.0,49.39,0.0,11.66,0.0,87.73,CASSADAGA VALLEY MIDDLE/HIGH SCHOOL,6,CHAUTAUQUA,2016
60503040001,0.0,0.0,0.0,33.55,0.0,54.61,89.47,0.0,45.39,0.0,0.0,0.0,66.45,0.0,10.53,0.0,95.07,CHAUTAUQUA LAKE SECONDARY SCHOOL,6,CHAUTAUQUA,2016
60601040003,0.0,0.0,0.0,49.24,0.0,54.31,0.0,0.0,45.69,0.0,0.0,0.0,50.76,0.0,0.0,0.0,88.83,PINE VALLEY CENTRAL JR-SR HIGH SCH,6,CHAUTAUQUA,2016
60701040003,0.0,0.0,0.0,38.26,0.0,60.0,0.0,0.0,40.0,0.0,0.0,0.0,61.74,0.0,0.0,0.0,95.65,CLYMER CENTRAL SCHOOL,6,CHAUTAUQUA,2016
60800010009,0.0,0.0,0.0,62.52,7.5,49.44,90.27,43.38,50.56,2.55,0.0,92.5,37.48,70.18,9.73,47.53,77.99,DUNKIRK SENIOR HIGH SCHOOL,6,CHAUTAUQUA,2016
61001040005,0.0,0.0,0.0,16.05,0.0,46.09,0.0,0.0,53.91,0.0,0.0,0.0,83.95,0.0,0.0,0.0,97.94,MAPLE GROVE JUNIOR/SENIOR HIGH,6,CHAUTAUQUA,2016
