AGGREGATION_CODE,AMERICAN INDIAN OR ALASKA NATIVE,ASIAN OR PACIFIC ISLANDER,BLACK,ECONOMICALLY DISADVANTAGED,LIMITED ENGLISH PROFICIENT,FEMALE,GENERAL EDUCATION STUDENTS,HISPANIC,MALE,MIGRANT,MULTIRACIAL,NOT ECONOMICALLY DISADVANTAGED,NOT LIMITED ENGLISH PROFICIENT,NOT MIGRANT,STUDENTS WITH DISABILITIES,WHITE,PCT_GRAD,AGGREGATION_NAME,COUNTY_CODE,COUNTY_NAME,YEAR
100902040004,0.0,0.0,0.0,32.05,0.0,50.64,62.18,0.0,49.36,0.0,0.0,67.95,0.0,0.0,10.26,0.0,85.9,GERMANTOWN JUNIOR-SENIOR HIGH SCHOOL,10,COLUMBIA,2017
101001040002,0.0,0.0,0.0,32.45,0.0,50.92,87.34,1.58,49.08,0.0,4.49,67.55,0.0,0.0,12.66,86.54,90.5,CHATHAM HIGH SCHOOL,10,COLUMBIA,2017
101300010001,0.0,6.95,28.0,61.26,5.68,48.84,84.0,10.53,51.16,0.0,1.47,38.74,72.42,0.0,16.0,45.89,85.47,HUDSON HIGH SCHOOL,10,COLUMBIA,2017
101401040005,0.0,0.0,0.0,26.7,0.0,48.59,84.58,0.0,51.41,0.83,0.0,73.3,0.0,21.39,15.42,93.7,89.22,ICHABOD CRANE SENIOR HIGH SCHOOL,10,COLUMBIA,2017
101601040003,0.0,0.0,0.0,41.72,0.0,47.68,27.15,0.0,52.32,0.0,0.0,58.28,0.0,0.0,3.97,0.0,88.74,NEW LEBANON JUNIOR-SENIOR HIGH SCH,10,COLUMBIA,2017
110101040002,0.0,0.0,0.0,46.72,0.0,49.64,85.4,0.0,50.36,0.0,0.0,53.28,0.0,0.0,14.6,0.0,90.51,CINCINNATUS HIGH SCHOOL,11,CORTLAND,2017
110200010011,0.0,0.0,4.24,44.5,0.0,44.77,89.14,1.32,55.23,0.0,0.0,55.5,0.0,0.0,10.86,90.46,84.24,CORTLAND JUNIOR-SENIOR HIGH SCHOOL,11,CORTLAND,2017
110304040002,0.0,0.0,0.0,41.29,0.0,41.29,83.87,0.0,58.71,0.0,0.0,58.71,0.0,0.0,16.13,0.0,94.84,MCGRAW SECONDARY SCHOOL,11,CORTLAND,2017
110701060001,0.0,0.0,0.0,32.08,0.0,47.11,83.96,0.0,52.89,0.0,0.0,67.92,0.0,0.0,16.04,96.53,92.05,HOMER SENIOR HIGH SCHOOL,11,CORTLAND,2017
110901040001,0.0,0.0,0.0,41.7,0.0,46.96,83.81,0.0,53.04,0.0,0.0,58.3,0.0,0.0,16.19,0.0,91.09,MARATHON HIGH SCHOOL,11,CORTLAND,2017
120102040001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.32,ANDES CENTRAL SCHOOL,12,DELAWARE,2017
120301040001,0.0,0.0,0.0,44.57,0.0,50.0,28.26,0.0,50.0,0.0,0.0,55.43,0.0,0.0,7.61,0.0,93.48,DOWNSVILLE CENTRAL SCHOOL,12,DELAWARE,2017
120401040001,0.0,0.0,0.0,53.4,0.0,58.25,21.36,0.0,41.75,0.0,0.0,46.6,0.0,0.0,4.85,0.0,74.76,CHARLOTTE VALLEY SCHOOL,12,DELAWARE,2017
120501040002,0.0,0.0,0.0,40.18,0.0,55.25,83.11,0.0,44.75,0.0,0.0,59.82,0.0,0.0,16.89,24.66,93.15,DELAWARE ACADEMY HIGH SCHOOL,12,DELAWARE,2017
120701040001,0.0,0.0,0.0,54.95,0.0,47.25,34.07,0.0,52.75,0.0,0.0,45.05,0.0,0.0,15.38,0.0,96.7,FRANKLIN CENTRAL SCHOOL,12,DELAWARE,2017
120906040002,0.0,0.0,0.0,49.36,0.0,55.77,61.54,0.0,44.23,0.0,0.0,50.64,0.0,0.0,10.9,0.0,90.38,HANCOCK JUNIOR-SENIOR HS,12,DELAWARE,2017
121401040001,0.0,0.0,0.0,50.0,0.0,57.89,0.0,0.0,42.11,0.0,0.0,50.0,0.0,0.0,0.0,77.19,93.86,MARGARETVILLE CENTRAL SCHOOL,12,DELAWARE,2017
121502040001,0.0,0.0,0.0,48.54,0.0,54.37,71.84,0.0,45.63,0.0,0.0,51.46,0.0,0.0,28.16,0.0,86.41,ROXBURY CENTRAL SCHOOL,12,DELAWARE,2017
121601060006,0.0,0.0,0.0,50.43,0.0,49.0,86.04,0.0,51.0,0.0,0.0,49.57,0.0,0.0,13.96,92.02,89.17,SIDNEY HIGH SCHOOL,12,DELAWARE,2017
121701040001,0.0,0.0,0.0,37.19,0.0,60.33,19.01,0.0,39.67,0.0,0.0,62.81,0.0,0.0,4.13,23.14,92.56,STAMFORD CENTRAL SCHOOL,12,DELAWARE,2017
121702040001,0.0,0.0,0.0,41.74,0.0,53.91,66.96,0.0,46.09,0.0,0.0,58.26,0.0,0.0,14.78,50.43,96.52,SOUTH KORTRIGHT CENTRAL SCHOOL,12,DELAWARE,2017
121901040002,0.0,0.0,0.0,50.92,0.0,49.82,83.76,0.0,50.18,0.0,0.0,49.08,0.0,0.0,16.24,0.0,88.93,WALTON HIGH SCHOOL,12,DELAWARE,2017
130200010005,0.0,2.05,22.46,43.67,0.0,52.22,83.58,24.63,47.78,0.0,3.08,56.33,0.0,0.0,16.42,46.29,87.12,BEACON HIGH SCHOOL,13,DUTCHESS,2017
130502020003,0.0,0.0,6.65,47.98,0.0,52.02,86.94,13.06,47.98,0.0,0.0,52.02,0.0,0.0,13.06,73.4,88.84,DOVER HIGH SCHOOL,13,DUTCHESS,2017
130801060007,0.0,2.46,11.78,36.87,0.0,46.19,86.76,10.62,53.81,0.0,1.0,63.13,0.0,0.0,13.24,72.44,83.06,FRANKLIN D ROOSEVELT SENIOR HS,13,DUTCHESS,2017
131101040004,0.0,0.0,2.33,54.88,3.72,43.26,26.05,12.56,56.74,0.0,0.0,45.12,26.98,0.0,4.65,73.49,89.77,WEBUTUCK HIGH SCHOOL,13,DUTCHESS,2017
