AGGREGATION_CODE,AMERICAN INDIAN OR ALASKA NATIVE,ASIAN OR PACIFIC ISLANDER,BLACK,ECONOMICALLY DISADVANTAGED,LIMITED ENGLISH PROFICIENT,FEMALE,FORMERLY LIMITED ENGLISH PROFICIENT,GENERAL EDUCATION STUDENTS,HISPANIC,MALE,MIGRANT,MULTIRACIAL,NOT ECONOMICALLY DISADVANTAGED,NOT LIMITED ENGLISH PROFICIENT,NOT MIGRANT,STUDENTS WITH DISABILITIES,WHITE,PCT_GRAD,AGGREGATION_NAME,COUNTY_CODE,COUNTY_NAME,YEAR
90301060006,0.0,0.0,0.0,47.96,0.0,50.0,0.0,81.63,0.0,50.0,0.0,0.0,52.04,0.0,0.0,18.37,48.3,88.1,BEEKMANTOWN HIGH SCHOOL,9,CLINTON,2018
90501040002,1.18,0.0,0.0,39.48,0.0,45.86,0.0,82.03,0.0,54.14,0.0,1.42,60.52,0.0,0.0,17.97,89.36,87.71,NORTHEASTERN CLINTON SR HIGH SCHOOL,9,CLINTON,2018
90601020002,0.0,0.0,0.0,19.86,0.0,50.68,0.0,42.47,0.0,49.32,0.0,0.0,80.14,0.0,0.0,8.22,0.0,90.41,CHAZY CENTRAL RURAL JUNIOR-SENIOR HS,9,CLINTON,2018
90901040002,0.0,0.0,0.0,41.23,0.0,49.29,0.0,84.36,0.0,50.71,0.0,0.0,58.77,0.0,0.0,15.64,0.0,87.2,NORTHERN ADIRONDACK MID/HIGH SCH,9,CLINTON,2018
91101060005,0.0,0.0,0.82,37.83,0.0,46.05,0.0,82.89,0.0,53.95,0.0,0.0,62.17,0.0,0.0,17.11,94.74,85.86,PERU JR/SR HIGH SCHOOL,9,CLINTON,2018
91200010006,0.0,0.0,7.77,48.53,0.0,48.01,0.0,78.07,0.0,51.99,0.0,0.0,51.47,0.0,0.0,21.93,85.84,85.32,PLATTSBURGH SENIOR HIGH SCHOOL,9,CLINTON,2018
91402060005,0.0,0.0,0.0,38.15,0.0,51.47,0.0,82.17,0.0,48.53,0.0,0.0,61.85,0.0,0.0,17.83,51.92,93.91,SARANAC HIGH SCHOOL,9,CLINTON,2018
100308020001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,BERKSHIRE JUNIOR-SENIOR HIGH SCHOOL,10,COLUMBIA,2018
100501040003,0.0,0.0,0.0,51.76,0.0,52.47,0.0,82.59,5.41,47.53,0.0,0.0,48.24,0.0,0.0,17.41,85.65,86.82,TACONIC HILLS JUNIOR/SENIOR HIGH,10,COLUMBIA,2018
100902040004,0.0,0.0,0.0,37.21,0.0,42.64,0.0,49.61,0.0,57.36,0.0,0.0,62.79,0.0,0.0,8.53,0.0,89.15,GERMANTOWN JUNIOR-SENIOR HIGH SCHOOL,10,COLUMBIA,2018
101001040002,0.0,0.0,0.0,40.69,0.0,49.47,0.0,88.83,0.0,50.53,0.0,7.45,59.31,0.0,0.0,11.17,83.78,92.02,CHATHAM HIGH SCHOOL,10,COLUMBIA,2018
101300010001,0.0,11.84,24.69,62.04,4.29,43.47,0.0,83.27,12.86,56.53,0.0,0.0,37.96,74.49,0.0,16.73,43.67,86.12,HUDSON HIGH SCHOOL,10,COLUMBIA,2018
101401040005,0.0,0.0,0.0,29.88,0.0,50.09,0.0,83.59,0.0,49.91,0.86,0.0,70.12,0.0,22.28,16.41,92.06,87.05,ICHABOD CRANE SENIOR HIGH SCHOOL,10,COLUMBIA,2018
101601040003,0.0,0.0,0.0,41.06,0.0,44.37,0.0,45.03,0.0,55.63,0.0,0.0,58.94,0.0,0.0,7.95,0.0,91.39,NEW LEBANON JUNIOR-SENIOR HIGH SCH,10,COLUMBIA,2018
110101040002,0.0,0.0,0.0,47.56,0.0,49.39,0.0,82.93,0.0,50.61,0.0,0.0,52.44,0.0,0.0,17.07,0.0,92.07,CINCINNATUS HIGH SCHOOL,11,CORTLAND,2018
110200010011,0.0,0.0,2.07,47.17,0.0,44.41,0.0,89.38,1.93,55.59,0.0,2.21,52.83,0.0,0.0,10.62,88.97,83.45,CORTLAND HIGH SCHOOL,11,CORTLAND,2018
110304040002,0.0,0.0,0.0,44.37,0.0,48.59,0.0,82.39,0.0,51.41,0.0,0.0,55.63,0.0,0.0,17.61,0.0,95.07,MCGRAW SECONDARY SCHOOL,11,CORTLAND,2018
110701060001,0.0,0.0,0.0,28.88,0.0,43.93,0.0,85.1,0.0,56.07,0.0,0.0,71.12,0.0,0.0,14.9,51.92,93.86,HOMER SENIOR HIGH SCHOOL,11,CORTLAND,2018
110901040001,0.0,0.0,0.0,44.34,0.0,52.94,0.0,51.13,0.0,47.06,0.0,0.0,55.66,0.0,0.0,9.05,0.0,94.12,MARATHON HIGH SCHOOL,11,CORTLAND,2018
120102040001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.12,ANDES CENTRAL SCHOOL,12,DELAWARE,2018
120301040001,0.0,0.0,0.0,49.07,0.0,43.52,0.0,24.07,0.0,56.48,0.0,0.0,50.93,0.0,0.0,6.48,0.0,93.52,DOWNSVILLE CENTRAL SCHOOL,12,DELAWARE,2018
120401040001,0.0,0.0,0.0,51.04,0.0,56.25,0.0,0.0,0.0,43.75,0.0,0.0,48.96,0.0,0.0,0.0,0.0,83.33,CHARLOTTE VALLEY SCHOOL,12,DELAWARE,2018
120501040002,0.0,0.0,0.0,29.68,0.0,48.4,0.0,82.65,0.0,51.6,0.0,0.0,70.32,0.0,0.0,17.35,48.4,91.32,DELAWARE ACADEMY HIGH SCHOOL,12,DELAWARE,2018
120701040001,0.0,0.0,0.0,45.45,0.0,38.64,0.0,55.68,0.0,61.36,0.0,0.0,54.55,0.0,0.0,18.18,0.0,96.59,FRANKLIN CENTRAL SCHOOL,12,DELAWARE,2018
120906040002,0.0,0.0,0.0,53.47,0.0,55.56,0.0,56.25,0.0,44.44,0.0,0.0,46.53,0.0,0.0,13.89,0.0,90.97,HANCOCK JUNIOR-SENIOR HS,12,DELAWARE,2018
