AGGREGATION_NAME,AMERICAN INDIAN/ALASKA NATIVE,ASIAN/PACIFIC ISLANDER,BLACK,ECONOMICALLY DISADVANTAGED,ENGLISH LANGUAGE LEARNER,FEMALE,FORMERLY ENGLISH LANGUAGE LEARNER,GENERAL EDUCATION STUDENTS,HISPANIC,HOMELESS,IN FOSTER CARE,MALE,MIGRANT,MULTIRACIAL,NOT ECONOMICALLY DISADVANTAGED,NOT ENGLISH LANGUAGE LEARNER,NOT HOMELESS,NOT MIGRANT,NOT IN FOSTER CARE,PARENT NOT IN ARMED FORCES,PARENT IN ARMED FORCES,STUDENTS WITH DISABILITIES,WHITE,PCT_GRAD,AGGREGATION_CODE,COUNTY_CODE,COUNTY_NAME
EAST AURORA HIGH SCHOOL,0.0,0.0,0.0,15.97,0.0,50.84,0.0,93.49,1.05,0.0,0.0,49.16,0.0,0.0,84.03,0.0,0.0,0.0,0.0,0.0,0.0,6.51,61.34,97.9,140301030005,14,ERIE
EAST BRONX ACADEMY FOR THE FUTURE,0.0,0.0,8.94,87.75,10.93,53.97,4.64,67.88,72.85,12.91,0.0,46.03,0.0,0.0,12.25,89.07,87.09,0.0,0.0,0.0,0.0,32.12,0.0,77.98,321200011271,32,BRONX
EAST BROOKLYN COMMUNITY HIGH SCHOOL,0.0,0.0,76.41,75.75,4.32,43.52,0.0,65.78,10.96,9.97,0.0,56.48,0.0,0.0,24.25,58.47,90.03,0.0,0.0,0.0,0.0,34.22,1.66,53.16,331800011673,33,KINGS
EAST HAMPTON HIGH SCHOOL,0.0,2.15,3.07,45.71,10.74,50.0,0.0,91.1,47.24,0.0,0.0,50.0,0.0,0.77,54.29,89.26,0.0,0.0,0.0,0.0,0.0,8.9,45.09,87.96,580301020002,58,SUFFOLK
EAST HIGH SCHOOL,0.0,0.0,54.53,84.96,15.75,51.67,5.13,85.92,31.5,3.7,0.0,48.33,0.0,0.0,15.04,68.74,80.79,0.0,0.0,0.0,0.0,14.08,6.68,61.22,140600010307,14,ERIE
EAST HIGH SCHOOL,0.0,0.0,54.53,84.96,15.75,51.67,5.13,85.92,31.5,3.7,0.0,48.33,0.0,0.0,15.04,68.74,80.79,0.0,0.0,0.0,0.0,14.08,6.68,61.22,261600010061,26,MONROE
EAST ISLIP HIGH SCHOOL,0.0,1.58,0.63,25.05,0.0,49.16,0.0,87.68,13.79,1.05,0.0,50.84,0.0,2.11,74.95,0.0,36.74,0.0,0.0,0.0,0.0,12.32,79.58,95.16,580503030006,58,SUFFOLK
EAST MEADOW HIGH SCHOOL,0.0,16.55,1.36,29.12,3.48,51.44,2.04,90.75,22.16,0.0,0.0,48.56,0.0,0.0,70.88,96.52,0.0,0.0,0.0,0.0,0.0,9.25,56.54,97.07,280203030011,28,NASSAU
EAST NEW YORK FAMILY ACADEMY,0.0,0.0,63.43,76.0,0.0,50.29,0.0,78.29,14.29,0.0,0.0,49.71,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,21.71,0.0,93.71,331900011409,33,KINGS
EAST ROCHESTER JUNIOR-SENIOR HIGH SCHOOL,0.0,0.0,12.12,48.99,0.0,48.99,0.0,62.63,2.53,0.0,0.0,51.01,0.0,0.0,51.01,0.0,0.0,0.0,0.0,0.0,0.0,6.57,78.28,89.9,261313030002,26,MONROE
EAST ROCKAWAY JUNIOR-SENIOR HIGH SCHOOL,0.0,2.73,0.0,27.34,0.0,46.09,0.0,85.55,23.83,0.0,0.0,53.91,0.0,0.0,72.66,0.0,0.0,0.0,0.0,0.0,0.0,14.45,64.06,93.16,280219030002,28,NASSAU
EAST SIDE COMMUNITY HIGH SCHOOL,0.0,10.26,20.88,68.86,0.0,47.62,0.0,79.12,54.21,2.2,0.0,52.38,0.0,0.0,31.14,0.0,31.87,0.0,0.0,0.0,0.0,20.88,3.66,94.14,310100011450,31,NEW YORK
EAST SYRACUSE-MINOA CENTRAL HIGH SCHOOL,0.0,1.69,4.82,39.71,0.0,47.4,0.0,82.81,1.95,1.3,0.0,52.6,0.0,0.78,60.29,0.0,66.41,0.0,0.0,0.0,0.0,17.19,87.76,92.71,420401060005,42,ONONDAGA
EAST-WEST SCHOOL OF INTERNATIONAL STUDIES,0.0,57.79,5.74,84.02,0.0,50.41,9.43,88.52,20.9,0.0,0.0,49.59,0.0,0.0,15.98,0.0,0.0,0.0,0.0,0.0,0.0,11.48,0.0,96.72,342500011281,34,QUEENS
EASTCHESTER SENIOR HIGH SCHOOL,0.0,9.41,0.0,0.0,0.0,48.71,0.0,88.32,10.62,0.0,0.0,51.29,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.68,74.2,96.13,660301030006,66,WESTCHESTER
EASTPORT-SOUTH MANOR JUNIOR SENIOR HIGH SCHOOL,0.0,0.54,1.71,18.76,0.0,49.73,0.0,85.53,6.75,0.54,0.0,50.27,0.0,0.0,81.24,0.0,33.44,0.0,0.0,0.0,0.0,14.47,89.28,97.0,580912060001,58,SUFFOLK
EASTRIDGE SENIOR HIGH SCHOOL,0.0,0.81,23.14,53.72,0.0,48.31,1.35,90.26,18.54,2.84,0.0,51.69,0.0,1.49,46.28,0.0,97.16,0.0,0.0,0.0,0.0,9.74,51.01,91.95,260801060006,26,MONROE
EBC HIGH SCHOOL FOR PUBLIC SERVICE,0.0,0.0,0.0,85.64,16.26,44.17,8.13,80.49,89.97,5.15,0.0,55.83,0.0,0.0,14.36,83.74,94.85,0.0,0.0,0.0,0.0,19.51,0.0,83.74,333200011545,33,KINGS
EDEN JUNIOR-SENIOR HIGH SCHOOL,0.0,0.0,0.0,20.72,0.0,47.45,0.0,89.79,0.0,0.0,0.0,52.55,0.0,0.0,79.28,0.0,0.0,0.0,0.0,0.0,0.0,10.21,33.03,96.4,141201060001,14,ERIE
EDENWALD SCHOOL,0.0,0.0,40.62,0.0,0.0,15.62,0.0,0.0,15.62,0.0,0.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.38,660804020003,66,WESTCHESTER
EDGEMONT JUNIOR-SENIOR HIGH SCHOOL,0.0,28.51,1.34,0.0,0.0,44.54,0.0,89.76,4.9,0.0,0.0,55.46,0.0,5.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.24,56.57,99.33,660406030003,66,WESTCHESTER
EDMESTON CENTRAL SCHOOL,0.0,0.0,0.0,40.57,0.0,47.17,0.0,61.32,0.0,0.0,0.0,52.83,0.0,0.0,59.43,0.0,0.0,0.0,0.0,0.0,0.0,10.38,0.0,90.57,470501040001,47,OTSEGO
EDWARD A REYNOLDS WEST SIDE HIGH SCHOOL,0.0,0.0,18.23,89.3,9.53,47.16,3.68,67.89,68.39,11.87,0.0,52.84,0.0,0.0,10.7,90.47,88.13,0.0,0.0,0.0,0.0,32.11,1.84,27.09,310300011505,31,NEW YORK
EDWARD R MURROW HIGH SCHOOL,0.19,25.72,21.49,68.36,2.79,58.55,10.0,84.57,21.34,11.6,0.0,41.45,0.0,1.12,31.64,97.21,88.4,0.0,0.0,0.0,0.0,15.43,27.96,85.78,332100011525,33,KINGS
EDWARDS-KNOX JUNIOR-SENIOR HIGH SCHOOL,0.0,0.0,0.0,52.38,0.0,53.97,0.0,80.16,0.0,0.0,0.0,46.03,0.0,0.0,47.62,0.0,0.0,0.0,0.0,0.0,0.0,19.84,0.0,84.13,513102040002,51,SAINT LAWRENCE
EL PUENTE ACADEMY FOR PEACE AND JUSTICE,0.0,0.0,0.0,82.1,6.79,59.26,8.02,75.31,85.19,6.79,0.0,40.74,0.0,0.0,17.9,58.64,58.64,0.0,0.0,0.0,0.0,24.69,0.0,77.78,331400011685,33,KINGS
ELBA JUNIOR-SENIOR HIGH SCHOOL,0.0,0.0,0.0,45.35,0.0,50.0,0.0,0.0,5.81,0.0,0.0,50.0,0.0,0.0,54.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.12,96.51,180901040002,18,GENESEE
ELDRED JUNIOR-SENIOR HIGH SCHOOL,0.0,0.0,0.0,32.58,0.0,50.76,0.0,29.55,0.0,0.0,0.0,49.24,0.0,0.0,67.42,0.0,0.0,0.0,0.0,0.0,0.0,3.79,60.61,92.42,590801040001,59,SULLIVAN
ELEANOR ROOSEVELT HIGH SCHOOL,0.0,21.53,0.0,25.12,0.0,60.05,0.0,90.91,9.57,0.0,0.0,39.95,0.0,0.0,74.88,0.0,0.0,0.0,0.0,0.0,0.0,9.09,62.92,99.52,310200010416,31,NEW YORK
ELIZABETHTOWN-LEWIS CENTRAL SCHOOL,0.0,0.0,0.0,57.14,0.0,51.79,0.0,0.0,0.0,0.0,0.0,48.21,0.0,0.0,42.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71,150301040001,15,ESSEX
ELLENVILLE HIGH SCHOOL,0.0,0.0,9.22,57.54,2.23,48.6,0.0,83.8,26.54,8.38,0.0,51.4,0.0,0.0,42.46,27.65,91.62,0.0,0.0,0.0,0.0,16.2,52.79,88.13,622002060004,62,ULSTER
ELLICOTTVILLE MIDDLE SCHOOL HIGH SCHOOL,0.0,0.0,0.0,26.77,0.0,51.18,0.0,53.54,0.0,0.0,0.0,48.82,0.0,0.0,73.23,0.0,0.0,0.0,0.0,0.0,0.0,12.6,51.18,96.85,40901040002,4,CATTARAUGUS
ELMONT MEMORIAL JUNIOR-SENIOR HIGH SCHOOL,0.0,6.52,74.69,53.77,2.47,50.28,0.9,89.2,13.39,0.56,0.0,49.72,0.0,0.0,46.23,64.68,33.52,0.0,0.0,0.0,0.0,10.8,0.0,96.4,280252070002,28,NASSAU
ELWOOD/JOHN GLENN HIGH SCHOOL,0.0,8.06,2.8,20.49,1.05,47.81,0.0,91.59,14.54,0.0,0.0,52.19,0.0,0.88,79.51,30.65,0.0,0.0,0.0,0.0,0.0,8.41,68.65,97.46,580401020003,58,SUFFOLK
EMMA LAZARUS HIGH SCHOOL,0.0,53.16,8.55,86.99,58.74,44.24,26.02,0.0,25.65,0.0,0.0,55.76,0.0,0.0,13.01,41.26,0.0,0.0,0.0,0.0,0.0,0.0,6.69,57.43,310200011394,31,NEW YORK
ENERGY TECH HIGH SCHOOL,0.0,21.7,2.52,72.33,0.0,22.64,0.0,82.7,46.54,1.57,0.0,77.36,0.0,4.09,27.67,0.0,32.39,0.0,0.0,0.0,0.0,17.3,15.72,92.61,343000011258,34,QUEENS
ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT,0.0,0.0,14.91,73.98,84.5,43.27,3.8,0.0,79.24,28.07,0.0,56.73,0.0,0.0,26.02,15.5,71.93,0.0,0.0,0.0,0.0,0.0,0.0,26.46,321000011397,32,BRONX
EPIC HIGH SCHOOL - NORTH,0.0,20.0,20.53,73.68,4.21,46.84,0.0,88.42,42.11,0.0,0.0,53.16,0.0,5.26,26.32,42.63,0.0,0.0,0.0,0.0,0.0,11.58,3.16,83.68,342700011334,34,QUEENS
EPIC HIGH SCHOOL SOUTH,0.0,26.75,39.49,66.88,0.0,47.77,0.0,85.35,27.39,0.0,0.0,52.23,0.0,0.0,33.12,0.0,0.0,0.0,0.0,0.0,0.0,14.65,0.0,77.39,342700010314,34,QUEENS
EQUALITY CHARTER SCHOOL,0.0,0.0,59.89,78.57,0.0,52.75,0.0,82.42,0.0,2.75,0.0,47.25,0.0,0.0,21.43,0.0,45.05,0.0,0.0,0.0,0.0,17.58,0.0,88.74,321100860956,32,BRONX
ESPERANZA PREPATORY ACADEMY,0.0,0.0,0.0,84.77,28.12,49.61,17.19,81.64,88.67,17.19,0.0,50.39,0.0,0.0,15.23,71.88,82.81,0.0,0.0,0.0,0.0,18.36,0.0,74.02,310400010372,31,NEW YORK
EXCELLENCE GIRLS CHARTER SCHOOL,0.0,0.0,72.11,63.61,0.0,50.0,0.0,91.84,15.65,0.0,0.0,50.0,0.0,0.0,36.39,0.0,0.0,0.0,0.0,0.0,0.0,8.16,0.0,96.26,331600860938,33,KINGS
EXCELSIOR PREPARATORTY HIGH SCHOOL,0.0,1.35,85.41,75.95,1.89,48.65,0.0,87.57,7.03,3.78,0.0,51.35,0.0,0.0,24.05,31.62,63.78,0.0,0.0,0.0,0.0,12.43,0.0,85.54,342900011265,34,QUEENS
EXIMIUS COLLEGE PREPARATORY ACADEMY,0.0,0.0,16.15,84.47,5.59,50.93,5.59,73.91,54.04,11.18,0.0,49.07,0.0,0.0,15.53,62.42,88.82,0.0,0.0,0.0,0.0,26.09,0.0,83.54,320900011250,32,BRONX
EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS,0.0,19.09,6.82,78.18,14.09,47.27,2.73,82.27,35.0,8.64,0.0,52.73,0.0,0.0,21.82,85.91,91.36,0.0,0.0,0.0,0.0,17.73,24.55,87.05,332100011572,33,KINGS
EXPLORATIONS ACADEMY,0.0,0.0,0.0,92.33,14.63,41.46,9.06,74.56,68.29,13.59,0.0,58.54,0.0,0.0,7.67,85.37,86.41,0.0,0.0,0.0,0.0,25.44,0.0,70.91,321200011251,32,BRONX
FABIUS-POMPEY MIDDLE SCHOOL HIGH SCHOOL,0.0,0.0,0.0,31.06,0.0,47.2,0.0,63.98,0.0,0.0,0.0,52.8,0.0,0.0,68.94,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.0,91.93,420601040003,42,ONONDAGA
FACING HISTORY SCHOOL (THE),0.0,0.0,17.25,77.11,13.03,49.65,5.63,76.41,67.25,7.75,0.0,50.35,0.0,0.0,22.89,86.97,92.25,0.0,0.0,0.0,0.0,23.59,0.0,77.29,310200011303,31,NEW YORK
FAIRPORT SENIOR HIGH SCHOOL,0.0,4.29,5.43,18.03,0.67,49.26,0.0,89.61,2.61,0.34,0.0,50.74,0.0,0.34,81.97,66.55,32.44,0.0,0.0,0.0,0.0,10.39,87.0,96.65,261301060009,26,MONROE
FALCONER HIGH SCHOOL,0.0,0.0,0.0,39.36,0.0,47.39,0.0,88.35,0.0,0.0,0.0,52.61,0.0,0.0,60.64,0.0,0.0,0.0,0.0,0.0,0.0,11.65,37.35,92.77,61101040007,6,CHAUTAUQUA
FALLSBURG JUNIOR SENIOR HIGH SCHOOL,0.0,0.0,7.96,61.25,11.42,50.17,0.0,82.7,47.06,3.11,0.0,49.83,3.46,0.0,38.75,88.58,31.14,65.74,0.0,0.0,0.0,17.3,34.95,76.82,590501060002,59,SULLIVAN
FANNIE LOU HAMER FREEDOM SCHOOL,0.0,0.0,0.0,78.13,8.45,44.9,1.75,70.85,69.97,7.0,0.0,55.1,0.0,0.0,21.87,91.55,93.0,0.0,0.0,0.0,0.0,29.15,0.0,74.2,321200011682,32,BRONX
FARMINGDALE SENIOR HIGH SCHOOL,0.0,1.7,6.23,29.44,3.61,47.13,0.0,86.91,19.53,2.48,0.0,52.87,0.0,0.35,70.56,96.39,97.52,0.0,0.0,0.0,0.0,13.09,68.01,94.66,280522030009,28,NASSAU
FAYETTEVILLE-MANLIUS SENIOR HIGH SCHOOL,0.0,8.8,3.65,12.83,0.47,50.37,0.0,92.13,2.15,0.0,0.0,49.63,0.0,0.0,87.17,30.52,0.0,0.0,0.0,0.0,0.0,7.87,83.43,96.44,421001060002,42,ONONDAGA
FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY,0.0,0.0,15.38,49.57,24.79,51.28,0.0,67.52,65.81,15.38,0.0,41.88,0.0,0.0,11.11,68.38,77.78,0.0,0.0,0.0,0.0,25.64,0.0,41.88,320800011519,32,BRONX
FILLMORE CENTRAL SCHOOL,0.0,0.0,0.0,48.09,0.0,51.15,0.0,0.0,0.0,0.0,0.0,48.85,0.0,0.0,51.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.47,22001040001,2,ALLEGANY
FIORELLO H LAGUARDIA HIGH SCHOOL OF MUSIC,0.0,19.13,11.45,33.23,0.0,73.84,0.0,97.46,19.34,0.36,0.0,26.16,0.0,2.09,66.77,0.0,32.32,0.0,0.0,0.0,0.0,2.54,43.92,98.8,310300011485,31,NEW YORK
FISHERS ISLAND SCHOOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.33,581004020001,58,SUFFOLK
FLORAL PARK MEMORIAL HIGH SCHOOL,0.0,18.95,12.16,23.34,0.0,46.53,0.0,86.99,14.0,0.0,0.0,53.47,0.0,0.0,76.66,0.0,0.0,0.0,0.0,0.0,0.0,13.01,54.88,95.62,280252070003,28,NASSAU
FLUSHING HIGH SCHOOL,0.51,17.42,17.25,74.68,26.17,45.45,5.69,85.64,60.66,7.9,0.0,54.55,0.0,0.0,25.32,73.83,92.1,0.0,0.0,0.0,0.0,14.36,1.44,69.24,342500011460,34,QUEENS
FLUSHING INTERNATIONAL HIGH SCHOOL,0.0,53.21,0.0,84.94,60.26,42.95,26.92,0.0,28.85,13.46,0.0,57.05,0.0,0.0,15.06,39.74,86.54,0.0,0.0,0.0,0.0,0.0,0.0,69.55,342500011263,34,QUEENS
FONDA-FULTONVILLE SENIOR HIGH SCHOOL,0.0,0.0,0.0,45.08,0.0,52.54,0.0,88.14,0.0,2.03,0.0,47.46,0.0,0.0,54.92,0.0,28.81,0.0,0.0,0.0,0.0,11.86,28.14,94.24,270601040002,27,MONTGOMERY
FOOD AND FINANCE HIGH SCHOOL,0.0,0.0,25.3,80.72,0.0,51.81,0.0,83.94,53.01,2.01,0.0,48.19,0.0,0.0,19.28,0.0,30.52,0.0,0.0,0.0,0.0,16.06,0.0,89.56,310200011288,31,NEW YORK
FORDHAM HIGH SCHOOL FOR THE ARTS,0.0,0.0,27.71,65.06,0.0,73.9,2.01,84.34,46.59,3.21,0.0,26.1,0.0,0.0,10.04,0.0,31.73,0.0,0.0,0.0,0.0,15.66,0.0,96.39,321000011437,32,BRONX
FORDHAM LEADERSHIP ACADEMY FOR BUSINESS & TECHNOLOGY,0.0,0.0,9.47,81.05,13.68,38.95,3.68,75.79,66.84,11.58,0.0,61.05,0.0,0.0,18.95,86.32,88.42,0.0,0.0,0.0,0.0,24.21,0.0,84.21,321000011438,32,BRONX
FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320700011520,32,BRONX
FOREST HILLS HIGH SCHOOL,0.95,25.19,8.74,72.16,3.22,51.3,6.26,87.78,33.63,2.98,0.0,48.7,0.0,2.47,27.84,96.78,97.02,0.0,0.0,0.0,0.0,12.22,29.02,90.55,342800011440,34,QUEENS
FORESTVILLE CENTRAL HIGH SCHOOL,0.0,0.0,0.0,54.05,0.0,51.35,0.0,0.0,0.0,0.0,0.0,48.65,0.0,0.0,45.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.72,91.89,61503040003,6,CHAUTAUQUA
FORSYTHE SATELLITE ACADEMY,0.0,0.0,37.63,82.8,7.17,54.84,4.3,73.12,55.56,8.96,0.0,45.16,0.0,0.0,17.2,63.08,91.04,0.0,0.0,0.0,0.0,26.88,0.0,40.32,310100011458,31,NEW YORK
FORT ANN CENTRAL SCHOOL,0.0,0.0,0.0,42.59,0.0,50.93,0.0,53.7,0.0,0.0,0.0,49.07,0.0,0.0,57.41,0.0,0.0,0.0,0.0,0.0,0.0,12.04,0.0,83.33,640502040001,64,WASHINGTON
FORT EDWARD SCHOOL,0.0,0.0,0.0,42.57,0.0,49.5,0.0,54.46,0.0,0.0,0.0,50.5,0.0,0.0,57.43,0.0,0.0,0.0,0.0,0.0,0.0,10.89,0.0,81.19,640601020001,64,WASHINGTON
FORT HAMILTON HIGH SCHOOL,0.0,29.03,4.58,73.08,12.06,46.97,9.01,87.25,29.64,4.7,0.0,53.03,0.0,0.0,26.92,87.94,95.3,0.0,0.0,0.0,0.0,12.75,35.06,80.98,332000011490,33,KINGS
FORT PLAIN JUNIOR-SENIOR HIGH SCHOOL,0.0,0.0,0.0,62.03,0.0,53.8,0.0,79.75,0.0,0.0,0.0,46.2,0.0,0.0,37.97,0.0,0.0,0.0,0.0,0.0,0.0,20.25,86.71,89.87,270701040003,27,MONTGOMERY
FOUNDATIONS ACADEMY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331400011322,33,KINGS
FOX LANE HIGH SCHOOL,0.0,4.3,2.29,29.06,10.9,46.46,2.39,90.44,31.84,0.0,0.0,53.54,0.0,1.15,70.94,89.1,0.0,0.0,0.0,0.0,0.0,9.56,58.99,88.58,660102060006,66,WESTCHESTER
FRANCES PERKINS ACADEMY,0.0,0.0,68.0,0.0,0.0,32.0,0.0,72.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,84.0,331400011632,33,KINGS
FRANCIS LEWIS HIGH SCHOOL,0.0,57.3,6.2,71.29,5.63,49.85,8.24,88.29,20.83,2.46,0.0,50.15,0.0,0.0,28.71,94.37,97.54,0.0,0.0,0.0,0.0,11.71,14.87,90.05,342600011430,34,QUEENS
FRANK MCCOURT HIGH SCHOOL,0.0,0.0,19.85,61.4,0.0,55.51,0.0,82.72,44.12,3.68,0.0,44.49,0.0,0.0,38.6,0.0,64.71,0.0,0.0,0.0,0.0,17.28,26.1,97.43,310300011417,31,NEW YORK
FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,0.0,0.0,13.71,40.81,0.0,68.85,0.0,88.79,37.07,0.0,0.0,31.15,0.0,0.0,59.19,0.0,0.0,0.0,0.0,0.0,0.0,11.21,36.6,95.95,343000011501,34,QUEENS
FRANKFORT SCHUYLER CENTRAL HIGH SCHOOL,0.0,0.0,0.0,37.28,0.0,52.19,0.0,61.4,0.0,0.0,0.0,47.81,0.0,0.0,62.72,0.0,0.0,0.0,0.0,0.0,0.0,10.09,37.28,93.86,210402060001,21,HERKIMER
FRANKLIN ACADEMY HIGH SCHOOL,0.0,0.0,0.0,51.17,0.0,49.73,0.0,79.71,0.0,3.77,0.9,50.27,0.0,0.0,48.83,0.0,96.23,0.0,34.65,0.0,0.0,20.29,61.76,86.89,161501060014,16,FRANKLIN
FRANKLIN CENTRAL SCHOOL,0.0,0.0,0.0,40.0,0.0,44.29,0.0,52.86,0.0,0.0,0.0,55.71,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,98.57,120701040001,12,DELAWARE
FRANKLIN D ROOSEVELT HIGH SCHOOL,0.0,40.82,2.79,80.81,28.13,43.09,14.39,87.0,30.09,11.73,0.0,56.91,0.0,0.0,19.19,71.87,88.27,0.0,0.0,0.0,0.0,13.0,17.58,72.85,332000011505,33,KINGS
FRANKLIN D ROOSEVELT SENIOR HIGH SCHOOL,0.0,0.71,12.44,42.1,0.0,47.71,0.0,88.99,12.44,1.43,1.63,52.29,0.0,2.75,57.9,0.0,65.95,0.0,66.97,0.0,0.0,11.01,69.72,84.25,130801060007,13,DUTCHESS
FRANKLINVILLE JUNIOR-SENIOR HIGH SCHOOL,0.0,0.0,0.0,49.67,0.0,42.38,0.0,32.45,0.0,0.0,0.0,57.62,0.0,0.0,50.33,0.0,0.0,0.0,0.0,0.0,0.0,3.97,0.0,97.35,41101040002,4,CATTARAUGUS
FREDERICK DOUGLAS ACADEMY II SECONDARY SCHOOL,0.0,0.0,62.5,76.34,5.36,38.84,2.68,75.0,10.27,17.86,0.0,61.16,0.0,0.0,23.66,62.05,82.14,0.0,0.0,0.0,0.0,25.0,0.0,78.12,310300011860,31,NEW YORK
FREDERICK DOUGLAS ACADEMY III SECONDARY SCHOOL,0.0,0.0,25.08,84.89,15.11,45.02,1.93,80.39,56.59,15.43,0.0,54.98,0.0,0.0,15.11,84.89,84.57,0.0,0.0,0.0,0.0,19.61,0.0,70.74,320900011517,32,BRONX
FREDERICK DOUGLAS ACADEMY VI HIGH SCHOOL,0.0,0.0,53.54,76.77,18.52,45.45,0.0,78.79,0.0,10.44,0.0,54.55,0.0,0.0,23.23,81.48,89.56,0.0,0.0,0.0,0.0,21.21,0.0,51.52,342700011260,34,QUEENS
FREDERICK DOUGLAS ACADEMY VII HIGH SCHOOL,0.0,0.0,84.21,72.51,2.92,41.52,0.0,67.84,0.0,20.47,0.0,58.48,0.0,0.0,6.43,42.11,58.48,0.0,0.0,0.0,0.0,32.16,0.0,73.98,332300010514,33,KINGS
FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,0.0,0.0,0.0,62.5,0.0,43.75,0.0,0.0,0.0,0.0,0.0,56.25,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.25,331600010393,33,KINGS
FREDERICK DOUGLASS SECONDARY SCHOOL,0.82,0.68,70.07,71.02,0.0,47.76,2.31,90.07,22.59,8.84,0.0,52.24,0.0,1.22,28.98,0.0,91.16,0.0,0.0,0.0,0.0,9.93,0.82,87.41,310500011499,31,NEW YORK
FREDERICK OLMSTED #156,0.0,13.19,45.49,46.18,0.0,52.78,0.0,91.32,4.86,0.0,0.0,47.22,0.0,0.0,53.82,0.0,0.0,0.0,0.0,0.0,0.0,8.68,28.82,97.57,140600010056,14,ERIE
FREDONIA HIGH SCHOOL,0.0,0.0,0.0,27.73,0.0,46.4,0.0,62.4,9.33,0.0,0.0,53.6,0.0,0.0,72.27,0.0,0.0,0.0,0.0,0.0,0.0,4.8,83.2,94.8,62201060003,6,CHAUTAUQUA
FREEPORT HIGH SCHOOL,0.0,0.41,27.82,63.14,13.82,48.43,4.37,89.19,65.21,1.71,0.0,51.57,0.0,0.41,36.86,86.18,98.29,0.0,0.0,0.0,0.0,10.81,4.73,82.6,280209030007,28,NASSAU
FREWSBURG JUNIOR-SENIOR HIGH SCHOOL,0.0,0.0,0.0,32.35,0.0,47.06,0.0,88.24,0.0,0.0,0.0,52.94,0.0,0.0,67.65,0.0,0.0,0.0,0.0,0.0,0.0,11.76,0.0,94.12,60301040004,6,CHAUTAUQUA
FRIENDSHIP CENTRAL SCHOOL,0.0,0.0,0.0,61.29,0.0,56.45,0.0,0.0,0.0,0.0,0.0,43.55,0.0,0.0,38.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.16,21601040004,2,ALLEGANY
FRONTIER SENIOR HIGH SCHOOL,0.0,0.0,0.0,26.81,0.0,52.42,0.0,85.91,4.03,0.55,0.0,47.58,0.0,2.01,73.19,0.0,31.56,0.0,0.0,0.0,0.0,14.09,91.86,92.18,141604060008,14,ERIE
G RAY BODLEY HIGH SCHOOL,0.0,0.0,1.93,53.45,0.6,44.26,0.0,89.24,3.99,9.31,0.0,55.74,0.6,0.0,46.55,34.7,90.69,34.7,0.0,0.0,0.0,10.76,91.66,82.89,460500010005,46,OSWEGO
GALWAY HIGH SCHOOL,0.0,0.0,0.0,23.41,0.0,49.27,0.0,90.24,0.0,0.0,0.0,50.73,0.0,0.0,76.59,0.0,0.0,0.0,0.0,0.0,0.0,9.76,0.0,94.63,520701040002,52,SARATOGA
GARDEN CITY HIGH SCHOOL,0.0,3.43,0.0,5.68,0.0,51.72,0.0,92.78,3.79,0.0,0.0,48.28,0.0,0.0,94.32,0.0,0.0,0.0,0.0,0.0,0.0,7.22,88.64,99.29,280218030007,28,NASSAU
GATES-CHILI HIGH SCHOOL,0.0,4.53,20.14,43.61,1.81,49.55,0.0,87.51,10.78,2.01,0.0,50.45,0.0,2.22,56.39,98.19,97.99,0.0,0.0,0.0,0.0,12.49,61.33,87.51,260401060001,26,MONROE
