AGGREGATION_NAME,AMERICAN INDIAN/ALASKA NATIVE,ASIAN/PACIFIC ISLANDER,BLACK,ECONOMICALLY DISADVANTAGED,ENGLISH LANGUAGE LEARNER,FEMALE,FORMERLY ENGLISH LANGUAGE LEARNER,GENERAL EDUCATION STUDENTS,HISPANIC,HOMELESS,IN FOSTER CARE,MALE,MIGRANT,MULTIRACIAL,NOT ECONOMICALLY DISADVANTAGED,NOT ENGLISH LANGUAGE LEARNER,NOT HOMELESS,NOT MIGRANT,NOT IN FOSTER CARE,PARENT NOT IN ARMED FORCES,PARENT IN ARMED FORCES,STUDENTS WITH DISABILITIES,WHITE,PCT_GRAD,AGGREGATION_CODE,COUNTY_CODE,COUNTY_NAME
LAFAYETTE HIGH SCHOOL,0.0,29.79,18.84,82.53,68.49,50.68,8.56,78.77,44.52,3.77,0.0,49.32,0.0,0.0,17.47,31.51,96.23,0.0,0.0,0.0,0.0,21.23,0.0,56.51,140600010107,14,ERIE
LAKE GEORGE JUNIOR-SENIOR HIGH SCHOOL,0.0,0.0,0.0,27.39,0.0,47.83,0.0,86.96,0.0,0.0,0.0,52.17,0.0,0.0,72.61,0.0,0.0,0.0,0.0,0.0,0.0,13.04,56.96,95.22,630701040003,63,WARREN
LAKE PLACID JUNIOR-SENIOR HIGH SCHOOL,0.0,0.0,0.0,38.22,0.0,54.14,0.0,84.08,0.0,0.0,0.0,45.86,0.0,0.0,61.78,0.0,0.0,0.0,0.0,0.0,0.0,15.92,62.42,94.9,151102040001,15,ESSEX
LAKE SHORE SENIOR HIGH SCHOOL,10.06,0.0,0.0,41.23,0.0,49.51,0.0,84.9,0.81,0.81,0.0,50.49,0.0,0.81,58.77,0.0,33.28,0.0,0.0,0.0,0.0,15.1,84.42,91.8,141401060003,14,ERIE
LAKELAND HIGH SCHOOL,0.0,4.99,0.81,19.54,0.0,47.71,0.0,83.83,15.9,0.67,0.0,52.29,0.0,0.0,80.46,0.0,31.94,0.0,0.0,0.0,0.0,16.17,76.01,95.55,662401060007,66,WESTCHESTER
LANCASTER HIGH SCHOOL,0.0,0.83,1.1,19.66,0.0,49.45,0.0,85.31,2.62,0.0,0.0,50.55,0.0,0.34,80.34,0.0,0.0,0.0,0.0,0.0,0.0,14.69,93.72,96.83,141901060008,14,ERIE
LANDMARK HIGH SCHOOL,0.0,0.0,16.53,80.93,2.12,58.47,2.12,75.0,59.32,5.08,0.0,41.53,0.0,0.0,19.07,39.41,67.8,0.0,0.0,0.0,0.0,25.0,0.0,76.27,310200011419,31,NEW YORK
LANSING HIGH SCHOOL,0.0,0.0,0.0,24.02,0.0,49.61,0.0,86.61,0.0,0.0,0.0,50.39,0.0,1.97,75.98,0.0,0.0,0.0,0.0,0.0,0.0,13.39,85.43,94.49,610801040002,61,TOMPKINS
LANSINGBURGH SENIOR HIGH SCHOOL,0.0,0.0,23.57,55.89,0.0,45.89,0.0,82.86,11.61,1.96,0.0,54.11,0.0,0.0,44.11,0.0,63.39,0.0,0.0,0.0,0.0,17.14,59.29,84.2,490601060003,49,RENSSELAER
LAURENS CENTRAL SCHOOL,0.0,0.0,0.0,49.4,0.0,51.81,0.0,54.22,0.0,0.0,0.0,48.19,0.0,0.0,50.6,0.0,0.0,0.0,0.0,0.0,0.0,16.87,0.0,95.18,470801040001,47,OTSEGO
LAWRENCE SENIOR HIGH SCHOOL,0.0,4.2,21.88,66.96,13.48,46.67,2.61,84.49,52.17,0.0,0.0,53.33,0.0,0.0,33.04,86.52,0.0,0.0,0.0,0.0,0.0,15.51,19.71,84.64,280215030007,28,NASSAU
LE ROY JUNIOR-SENIOR HIGH SCHOOL,0.0,0.0,0.0,29.43,0.0,50.94,0.0,89.81,0.0,0.0,0.0,49.06,0.0,0.0,70.57,0.0,0.0,0.0,0.0,0.0,0.0,10.19,63.4,97.36,181001060002,18,GENESEE
LEADERSHIP & PUBLIC SERVICE HIGH SCHOOL,0.0,4.71,29.03,81.39,3.72,58.81,1.49,83.13,59.8,7.69,0.0,41.19,0.0,1.24,18.61,69.98,92.31,0.0,0.0,0.0,0.0,16.87,1.24,82.13,310200011425,31,NEW YORK
LEADERSHIP ACADEMY FOR YOUNG MEN,0.0,0.0,72.41,84.48,9.91,0.0,0.0,81.9,14.66,2.16,0.0,0.0,0.0,0.0,15.52,90.09,37.93,0.0,0.0,0.0,0.0,18.1,3.02,63.36,261600010103,26,MONROE
LEADERSHIP INSTITUTE,0.0,0.0,20.0,75.56,26.67,33.33,0.0,73.33,68.89,0.0,0.0,55.56,0.0,0.0,13.33,62.22,0.0,0.0,0.0,0.0,0.0,15.56,0.0,37.78,320900011276,32,BRONX
LEADERSHIP PREPARATORY CHARTER SCHOOL,9.58,0.0,79.04,62.87,0.0,54.49,0.0,27.54,2.99,0.0,0.0,45.51,0.0,0.0,37.13,0.0,0.0,0.0,0.0,0.0,0.0,5.39,0.0,92.22,331300860901,33,KINGS
LEADERSHIP PREPARATORY OCEAN HILL CHARTER SCHOOL,0.0,0.0,90.15,71.97,0.0,50.76,0.0,43.94,3.79,0.0,0.0,49.24,0.0,0.0,28.03,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,94.7,332300860941,33,KINGS
LEHMAN ALTERNATIVE COMMUNITY SCHOOL,0.0,0.0,0.0,29.75,0.0,49.59,0.0,27.27,0.0,0.0,0.0,50.41,0.0,0.0,70.25,0.0,0.0,0.0,0.0,0.0,0.0,4.96,82.64,90.91,610600010019,61,TOMPKINS
LEON M GOLDSTEIN HIGH SCHOOL-SCIENCES,0.0,24.25,9.6,48.64,0.0,55.25,0.0,86.64,0.0,0.0,0.0,44.75,0.0,0.0,51.36,0.0,0.0,0.0,0.0,0.0,0.0,13.36,57.72,97.73,332200011535,33,KINGS
LEONARDO DA VINCI HIGH SCHOOL,0.0,6.5,30.69,60.65,0.0,72.56,3.61,62.45,15.88,0.0,0.0,27.44,0.0,0.0,39.35,0.0,0.0,0.0,0.0,0.0,0.0,6.14,40.07,96.57,140600010128,14,ERIE
LETCHWORTH SENIOR HIGH SCHOOL,0.0,0.0,0.0,40.28,0.0,55.45,0.0,91.47,0.0,0.0,0.0,44.55,0.0,0.0,59.72,0.0,0.0,0.0,0.0,0.0,0.0,8.53,35.55,95.26,670401040001,67,WYOMING
LEWISTON PORTER SENIOR HIGH SCHOOL,0.0,5.84,1.09,21.53,0.0,51.46,0.0,85.22,0.91,0.0,0.0,48.54,0.0,0.0,78.47,0.0,0.0,0.0,0.0,0.0,0.0,14.78,88.87,94.98,400301060006,40,NIAGARA
