,AGGREGATION_NAME,AMERICAN INDIAN OR ALASKA NATIVE,ASIAN OR PACIFIC ISLANDER,BLACK,ECONOMICALLY DISADVANTAGED,FEMALE,FORMERLY LIMITED ENGLISH PROFICIENT,GENERAL EDUCATION STUDENTS,HISPANIC,LIMITED ENGLISH PROFICIENT,MALE,MIGRANT,MULTIRACIAL,NOT ECONOMICALLY DISADVANTAGED,NOT LIMITED ENGLISH PROFICIENT,NOT MIGRANT,STUDENTS WITH DISABILITIES,WHITE,PCT_GRAD,AGGREGATION_CODE,COUNTY_CODE,COUNTY_NAME,YEAR,HOMELESS,IN FOSTER CARE,NOT HOMELESS,NOT IN FOSTER CARE,PARENT NOT IN ARMED FORCES,PARENT IN ARMED FORCES,NUM_OUT_CERT,PER_TEACH_INEXP,PER_OUT_CERT,NRC_CODE,CHARTER
47,HEATLY SCHOOL,0.0,0.0,0.0,55.26,48.68,0.0,0.0,0.0,0.0,51.32,0.0,0.0,44.74,0.0,0.0,0.0,22.37,80.26,10701030001,1,ALBANY,2017,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.11,2.47,3.0,False
48,HEATLY SCHOOL,0.0,0.0,0.0,50.0,54.29,0.0,0.0,0.0,0.0,45.71,0.0,0.0,50.0,0.0,0.0,0.0,24.29,72.86,10701030001,1,ALBANY,2018,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.88,8.57,3.0,False
49,HEATLY SCHOOL,0.0,0.0,0.0,45.1,50.98,0.0,0.0,0.0,0.0,49.02,0.0,0.0,54.9,0.0,0.0,0.0,0.0,80.39,10701030001,1,ALBANY,2019,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.96,5.88,3.0,False
50,GUILDERLAND HIGH SCHOOL,0.0,6.71,4.45,10.98,51.95,0.43,85.85,2.44,0.85,48.05,0.0,1.28,89.02,99.15,100.0,14.15,85.12,95.18,10802060005,1,ALBANY,2015,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.7,0.57,6.0,False
51,GUILDERLAND HIGH SCHOOL,0.0,7.58,4.63,14.02,52.05,0.0,85.92,2.53,0.0,47.95,0.0,1.93,85.98,0.0,0.0,14.08,83.33,94.95,10802060005,1,ALBANY,2016,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.77,0.59,6.0,False
52,GUILDERLAND HIGH SCHOOL,0.0,8.11,4.76,15.55,50.73,0.0,87.07,3.48,0.0,49.27,0.0,2.07,84.45,0.0,0.0,12.93,81.59,95.49,10802060005,1,ALBANY,2017,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.83,0.59,6.0,False
53,GUILDERLAND HIGH SCHOOL,0.0,10.64,4.4,15.35,48.75,1.22,87.89,3.0,0.0,51.25,0.0,1.16,84.65,0.0,0.0,12.11,79.45,95.23,10802060005,1,ALBANY,2018,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.94,2.48,6.0,False
54,GUILDERLAND HIGH SCHOOL,0.0,10.61,3.97,15.96,47.89,0.52,87.4,3.71,0.0,52.11,0.0,1.38,84.04,0.0,0.0,12.6,79.38,95.64,10802060005,1,ALBANY,2019,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.29,1.21,6.0,False
55,C A BOUTON MIDDLE SCHOOL HIGH SCHOOL,0.0,0.0,0.0,7.07,47.47,0.0,88.55,0.0,0.0,52.53,0.0,0.0,92.93,0.0,0.0,11.45,91.25,98.32,11003060002,1,ALBANY,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.43,0.0,6.0,False
56,CLAYTON A BOUTON HIGH SCHOOL,0.0,3.7,1.59,11.64,42.06,0.0,91.8,1.32,0.26,57.94,0.0,1.59,88.36,99.74,100.0,8.2,91.8,96.03,11003060002,1,ALBANY,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17,0.0,6.0,False
57,CLAYTON A BOUTON HIGH SCHOOL,0.0,0.0,0.0,12.31,45.38,0.0,92.31,0.0,0.0,54.62,0.0,0.0,87.69,0.0,0.0,7.69,45.13,95.13,11003060002,1,ALBANY,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55,0.0,6.0,False
58,CLAYTON A BOUTON HIGH SCHOOL,0.0,0.0,0.0,10.05,45.1,0.0,89.95,0.0,0.0,54.9,0.0,0.0,89.95,0.0,0.0,10.05,69.33,97.68,11003060002,1,ALBANY,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.59,0.0,6.0,False
59,CLAYTON A BOUTON HIGH SCHOOL,0.0,0.0,0.0,8.37,46.8,0.0,89.41,0.0,0.0,53.2,0.0,0.0,91.63,0.0,0.0,10.59,67.49,97.78,11003060002,1,ALBANY,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.08,0.0,6.0,False
60,WATERVLIET JUNIOR-SENIOR HIGH SCHOOL,0.0,4.72,11.56,63.68,53.3,0.71,84.67,8.49,0.94,46.7,0.0,2.36,36.32,99.06,100.0,15.33,72.88,77.12,11200010010,1,ALBANY,2015,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.29,0.61,3.0,False
61,WATERVLIET JUNIOR-SENIOR HIGH SCHOOL,0.0,3.4,9.98,66.44,47.17,0.0,85.71,10.43,0.0,52.83,0.0,2.27,33.56,0.0,0.0,14.29,70.98,78.91,11200010010,1,ALBANY,2016,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.32,3.05,3.0,False
62,WATERVLIET JUNIOR-SENIOR HIGH SCHOOL,0.0,6.33,17.19,65.38,45.93,0.0,83.71,7.69,0.0,54.07,0.0,3.85,34.62,0.0,0.0,16.29,63.57,79.64,11200010010,1,ALBANY,2017,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.32,3.66,3.0,False
63,WATERVLIET JUNIOR-SENIOR HIGH SCHOOL,0.0,8.17,18.99,69.47,43.51,2.4,82.69,4.09,2.88,56.49,0.0,2.64,30.53,43.75,0.0,17.31,60.82,76.44,11200010010,1,ALBANY,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.93,0.0,3.0,False
64,WATERVLIET JUNIOR-SENIOR HIGH SCHOOL,0.0,8.68,23.47,65.59,44.69,1.61,83.92,5.14,1.93,55.31,0.0,1.93,34.41,28.94,0.0,16.08,54.98,79.74,11200010010,1,ALBANY,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.01,0.0,3.0,False
65,ALFRED-ALMOND JUNIOR-SENIOR HIGH SCH,0.0,4.95,0.5,28.71,49.01,0.0,90.1,0.99,0.0,50.99,0.0,0.0,71.29,100.0,100.0,9.9,93.56,96.04,20101040002,2,ALLEGANY,2015,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.47,2.47,5.0,False
66,ALFRED-ALMOND JUNIOR-SENIOR HIGH SCH,0.0,0.0,0.0,33.17,46.63,0.0,89.42,0.0,0.0,53.37,0.0,0.0,66.83,0.0,0.0,10.58,23.08,94.23,20101040002,2,ALLEGANY,2016,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.64,3.7,5.0,False
